motif_id	region_id	sample_id
FOSL1_FOSL1_HUMAN.H11MO.0.A	chr22:25110811-25110823	98JKPD8_lumA
FOSL1_FOSL1_HUMAN.H11MO.0.A	chr13:44108585-44108597	98JKPD8_lumA
FOSL1_FOSL1_HUMAN.H11MO.0.A	chr7:55074204-55074216	ANAB5F7_basal
FOSL1_FOSL1_HUMAN.H11MO.0.A	chr1:9115131-9115143	ANAB5F7_basal
FOSL1_FOSL1_HUMAN.H11MO.0.A	chr11:11218918-11218930	98JKPD8_lumA
FOSL1_FOSL1_HUMAN.H11MO.0.A	chr12:52186276-52186288	ANAB5F7_basal
FOSL1_FOSL1_HUMAN.H11MO.0.A	chr7:133512732-133512744	ANAB5F7_basal
FOSL1_FOSL1_HUMAN.H11MO.0.A	chr17:66275862-66275874	S6R691V_her2
FOSL1_FOSL1_HUMAN.H11MO.0.A	chr3:124607377-124607389	ANAB5F7_basal
FOSL1_FOSL1_HUMAN.H11MO.0.A	chr3:32045747-32045759	S6R691V_her2
FOSL1_FOSL1_HUMAN.H11MO.0.A	chr2:9812612-9812624	2GAMBDQ_norm
FOSL1_FOSL1_HUMAN.H11MO.0.A	chr18:62851120-62851132	98JKPD8_lumA
