motif_id	region_id	sample_id
SCRT1_MA0743.2	chr4:152708625-152708641	98JKPD8_lumA
SCRT1_MA0743.2	chr11:86100184-86100200	ANAB5F7_basal
SCRT1_MA0743.2	chr1:43935706-43935722	98JKPD8_lumA
SCRT1_MA0743.2	chr6:34555909-34555925	98JKPD8_lumA
SCRT1_MA0743.2	chr12:25135892-25135908	S6R691V_her2
SCRT1_MA0743.2	chr18:48357208-48357224	98JKPD8_lumA
SCRT1_MA0743.2	chr8:103120562-103120578	PU24GB8_lumB
SCRT1_MA0743.2	chr20:44009023-44009039	98JKPD8_lumA
SCRT1_MA0743.2	chr19:29694779-29694795	ANAB5F7_basal
SCRT1_MA0743.2	chr9:105901945-105901961	PU24GB8_lumB
SCRT1_MA0743.2	chr2:120470022-120470038	98JKPD8_lumA
SCRT1_MA0743.2	chr9:127977398-127977414	98JKPD8_lumA
SCRT1_MA0743.2	chr20:56890377-56890393	98JKPD8_lumA
SCRT1_MA0743.2	chr17:64174861-64174877	ANAB5F7_basal
SCRT1_MA0743.2	chr6:168396196-168396212	98JKPD8_lumA
SCRT1_MA0743.2	chr20:52296192-52296208	S6R691V_her2
SCRT1_MA0743.2	chr16:10578257-10578273	98JKPD8_lumA
