motif_id	region_id	sample_id
VDR_VDR_HUMAN.H11MO.0.A	chr1:37661475-37661491	ANAB5F7_basal
VDR_VDR_HUMAN.H11MO.0.A	chr21:39312454-39312470	PU24GB8_lumB
VDR_VDR_HUMAN.H11MO.0.A	chr18:3261753-3261769	98JKPD8_lumA
VDR_VDR_HUMAN.H11MO.0.A	chr19:921837-921853	98JKPD8_lumA
VDR_VDR_HUMAN.H11MO.0.A	chr14:73852918-73852934	98JKPD8_lumA
VDR_VDR_HUMAN.H11MO.0.A	chr16:86798810-86798826	ANAB5F7_basal
VDR_VDR_HUMAN.H11MO.0.A	chr15:93048899-93048915	ANAB5F7_basal
VDR_VDR_HUMAN.H11MO.0.A	chr3:136195868-136195884	98JKPD8_lumA
VDR_VDR_HUMAN.H11MO.0.A	chr2:234633847-234633863	98JKPD8_lumA
VDR_VDR_HUMAN.H11MO.0.A	chr17:50845846-50845862	98JKPD8_lumA
VDR_VDR_HUMAN.H11MO.0.A	chr3:11272452-11272468	98JKPD8_lumA
VDR_VDR_HUMAN.H11MO.0.A	chr13:114015768-114015784	98JKPD8_lumA
VDR_VDR_HUMAN.H11MO.0.A	chr5:171420550-171420566	98JKPD8_lumA
VDR_VDR_HUMAN.H11MO.0.A	chr11:64879385-64879401	98JKPD8_lumA
VDR_VDR_HUMAN.H11MO.0.A	chr13:18874916-18874932	2GAMBDQ_norm
VDR_VDR_HUMAN.H11MO.0.A	chr9:93115781-93115797	98JKPD8_lumA
VDR_VDR_HUMAN.H11MO.0.A	chr4:44726422-44726438	98JKPD8_lumA
VDR_VDR_HUMAN.H11MO.0.A	chr8:28800545-28800561	98JKPD8_lumA
VDR_VDR_HUMAN.H11MO.0.A	chr17:80901809-80901825	ANAB5F7_basal
VDR_VDR_HUMAN.H11MO.0.A	chr1:159855175-159855191	98JKPD8_lumA
VDR_VDR_HUMAN.H11MO.0.A	chr1:23960450-23960466	98JKPD8_lumA
VDR_VDR_HUMAN.H11MO.0.A	chr1:245118107-245118123	98JKPD8_lumA
VDR_VDR_HUMAN.H11MO.0.A	chr6:3363892-3363908	S6R691V_her2
VDR_VDR_HUMAN.H11MO.0.A	chr11:124536882-124536898	98JKPD8_lumA
VDR_VDR_HUMAN.H11MO.0.A	chr5:136212346-136212362	98JKPD8_lumA
VDR_VDR_HUMAN.H11MO.0.A	chr19:50325570-50325586	98JKPD8_lumA
VDR_VDR_HUMAN.H11MO.0.A	chr20:62970729-62970745	S6R691V_her2
