motif_id	region_id	sample_id
MBD2_MBD2_HUMAN.H11MO.0.B	chr5:138753389-138753400	2GAMBDQ_norm
MBD2_MBD2_HUMAN.H11MO.0.B	chr12:132908925-132908936	2GAMBDQ_norm
MBD2_MBD2_HUMAN.H11MO.0.B	chr11:9314893-9314904	2GAMBDQ_norm
MBD2_MBD2_HUMAN.H11MO.0.B	chr2:183038476-183038487	2GAMBDQ_norm
MBD2_MBD2_HUMAN.H11MO.0.B	chr1:966177-966188	98JKPD8_lumA
MBD2_MBD2_HUMAN.H11MO.0.B	chr8:123541412-123541423	ANAB5F7_basal
MBD2_MBD2_HUMAN.H11MO.0.B	chr8:17801568-17801579	2GAMBDQ_norm
MBD2_MBD2_HUMAN.H11MO.0.B	chr20:407965-407976	ANAB5F7_basal
MBD2_MBD2_HUMAN.H11MO.0.B	chr12:48957604-48957615	2GAMBDQ_norm
MBD2_MBD2_HUMAN.H11MO.0.B	chr1:166167023-166167034	98JKPD8_lumA
