motif_id	region_id	sample_id
OZF_OZF_HUMAN.H11MO.0.C	chr17:369758-369782	98JKPD8_lumA
OZF_OZF_HUMAN.H11MO.0.C	chr13:101474485-101474509	ANAB5F7_basal
OZF_OZF_HUMAN.H11MO.0.C	chr1:228457355-228457379	98JKPD8_lumA
OZF_OZF_HUMAN.H11MO.0.C	chr5:154273276-154273300	S6R691V_her2
OZF_OZF_HUMAN.H11MO.0.C	chr2:26144988-26145012	98JKPD8_lumA
OZF_OZF_HUMAN.H11MO.0.C	chr13:109396393-109396417	2GAMBDQ_norm
OZF_OZF_HUMAN.H11MO.0.C	chr11:6612907-6612931	S6R691V_her2
OZF_OZF_HUMAN.H11MO.0.C	chr1:203686616-203686640	S6R691V_her2
OZF_OZF_HUMAN.H11MO.0.C	chr2:46989625-46989649	ANAB5F7_basal
OZF_OZF_HUMAN.H11MO.0.C	chr19:35118336-35118360	ANAB5F7_basal
OZF_OZF_HUMAN.H11MO.0.C	chr8:24354459-24354483	2GAMBDQ_norm
OZF_OZF_HUMAN.H11MO.0.C	chr17:50118627-50118651	S6R691V_her2
OZF_OZF_HUMAN.H11MO.0.C	chr2:46325461-46325485	ANAB5F7_basal
OZF_OZF_HUMAN.H11MO.0.C	chr16:4623923-4623947	98JKPD8_lumA
OZF_OZF_HUMAN.H11MO.0.C	chr19:10690499-10690523	ANAB5F7_basal
OZF_OZF_HUMAN.H11MO.0.C	chr12:124775325-124775349	ANAB5F7_basal
OZF_OZF_HUMAN.H11MO.0.C	chr3:25509102-25509126	2GAMBDQ_norm
OZF_OZF_HUMAN.H11MO.0.C	chr9:126667124-126667148	98JKPD8_lumA
OZF_OZF_HUMAN.H11MO.0.C	chr1:21574395-21574419	2GAMBDQ_norm
OZF_OZF_HUMAN.H11MO.0.C	chr3:66419098-66419122	98JKPD8_lumA
OZF_OZF_HUMAN.H11MO.0.C	chr2:179975061-179975085	ANAB5F7_basal
OZF_OZF_HUMAN.H11MO.0.C	chr6:75736681-75736705	98JKPD8_lumA
OZF_OZF_HUMAN.H11MO.0.C	chr8:100809511-100809535	ANAB5F7_basal
OZF_OZF_HUMAN.H11MO.0.C	chr21:15978684-15978708	ANAB5F7_basal
OZF_OZF_HUMAN.H11MO.0.C	chr2:177281518-177281542	ANAB5F7_basal
OZF_OZF_HUMAN.H11MO.0.C	chr10:34854074-34854098	ANAB5F7_basal
OZF_OZF_HUMAN.H11MO.0.C	chr10:79076817-79076841	ANAB5F7_basal
OZF_OZF_HUMAN.H11MO.0.C	chr3:39126617-39126641	98JKPD8_lumA
OZF_OZF_HUMAN.H11MO.0.C	chr4:105859369-105859393	98JKPD8_lumA
