motif_id	region_id	sample_id
NR5A2_NR5A2_HUMAN.H11MO.0.B	chr11:63872190-63872201	98JKPD8_lumA
NR5A2_NR5A2_HUMAN.H11MO.0.B	chr14:24442642-24442653	98JKPD8_lumA
NR5A2_NR5A2_HUMAN.H11MO.0.B	chr16:4625273-4625284	98JKPD8_lumA
NR5A2_NR5A2_HUMAN.H11MO.0.B	chr1:171645990-171646001	ANAB5F7_basal
NR5A2_NR5A2_HUMAN.H11MO.0.B	chr11:1574722-1574733	98JKPD8_lumA
NR5A2_NR5A2_HUMAN.H11MO.0.B	chr11:35352522-35352533	98JKPD8_lumA
NR5A2_NR5A2_HUMAN.H11MO.0.B	chr16:85461169-85461180	98JKPD8_lumA
NR5A2_NR5A2_HUMAN.H11MO.0.B	chr1:153507001-153507012	ANAB5F7_basal
NR5A2_NR5A2_HUMAN.H11MO.0.B	chr12:122449452-122449463	ANAB5F7_basal
NR5A2_NR5A2_HUMAN.H11MO.0.B	chr19:21787571-21787582	98JKPD8_lumA
NR5A2_NR5A2_HUMAN.H11MO.0.B	chr6:108678078-108678089	98JKPD8_lumA
NR5A2_NR5A2_HUMAN.H11MO.0.B	chr2:84920441-84920452	ANAB5F7_basal
NR5A2_NR5A2_HUMAN.H11MO.0.B	chr9:977901-977912	ANAB5F7_basal
NR5A2_NR5A2_HUMAN.H11MO.0.B	chr11:35322219-35322230	98JKPD8_lumA
