motif_id	region_id	sample_id
ZKSCAN5_M07709_2.00	chr20:45783921-45783930	ANAB5F7_basal
ZKSCAN5_M07709_2.00	chr3:42490442-42490451	98JKPD8_lumA
ZKSCAN5_M07709_2.00	chr19:55675110-55675119	98JKPD8_lumA
ZKSCAN5_M07709_2.00	chr8:70217449-70217458	ANAB5F7_basal
ZKSCAN5_M07709_2.00	chr8:23105240-23105249	98JKPD8_lumA
ZKSCAN5_M07709_2.00	chr8:123619623-123619632	S6R691V_her2
ZKSCAN5_M07709_2.00	chr10:59709779-59709788	98JKPD8_lumA
ZKSCAN5_M07709_2.00	chr14:33508333-33508342	98JKPD8_lumA
ZKSCAN5_M07709_2.00	chr6:151960448-151960457	98JKPD8_lumA
ZKSCAN5_M07709_2.00	chr17:74213711-74213720	PU24GB8_lumB
