motif_id	region_id	sample_id
CEBPG_MA1636.1	chr20:17722198-17722213	98JKPD8_lumA
CEBPG_MA1636.1	chr16:11640393-11640408	PU24GB8_lumB
CEBPG_MA1636.1	chr9:136849183-136849198	98JKPD8_lumA
CEBPG_MA1636.1	chr5:10250329-10250344	ANAB5F7_basal
CEBPG_MA1636.1	chr10:119001232-119001247	S6R691V_her2
CEBPG_MA1636.1	chr8:94934025-94934040	PU24GB8_lumB
CEBPG_MA1636.1	chr7:64330880-64330895	S6R691V_her2
CEBPG_MA1636.1	chr1:54835245-54835260	98JKPD8_lumA
CEBPG_MA1636.1	chr12:105825376-105825391	ANAB5F7_basal
CEBPG_MA1636.1	chr1:222738614-222738629	ANAB5F7_basal
CEBPG_MA1636.1	chr6:15755862-15755877	ANAB5F7_basal
CEBPG_MA1636.1	chr8:120861599-120861614	ANAB5F7_basal
