motif_id	region_id	sample_id
GATA2_M07968_2.00	chr3:140972927-140972945	2GAMBDQ_norm
GATA2_M07968_2.00	chr17:13268870-13268888	2GAMBDQ_norm
GATA2_M07968_2.00	chr11:121722663-121722681	ANAB5F7_basal
GATA2_M07968_2.00	chr6:153002754-153002772	ANAB5F7_basal
GATA2_M07968_2.00	chr8:138890048-138890066	2GAMBDQ_norm
GATA2_M07968_2.00	chr20:53939874-53939892	98JKPD8_lumA
GATA2_M07968_2.00	chr14:73852079-73852097	98JKPD8_lumA
GATA2_M07968_2.00	chr4:140721053-140721071	PU24GB8_lumB
GATA2_M07968_2.00	chr15:98519481-98519499	98JKPD8_lumA
GATA2_M07968_2.00	chr3:8971210-8971228	98JKPD8_lumA
GATA2_M07968_2.00	chr10:52999437-52999455	2GAMBDQ_norm
