motif_id	region_id	sample_id
TFE2_TFE2_HUMAN.H11MO.0.A	chr6:30717285-30717296	ANAB5F7_basal
TFE2_TFE2_HUMAN.H11MO.0.A	chr9:128128165-128128176	98JKPD8_lumA
TFE2_TFE2_HUMAN.H11MO.0.A	chr15:99733405-99733416	ANAB5F7_basal
TFE2_TFE2_HUMAN.H11MO.0.A	chr11:64271158-64271169	ANAB5F7_basal
TFE2_TFE2_HUMAN.H11MO.0.A	chr1:151511738-151511749	98JKPD8_lumA
TFE2_TFE2_HUMAN.H11MO.0.A	chr1:46517187-46517198	98JKPD8_lumA
TFE2_TFE2_HUMAN.H11MO.0.A	chr5:178078010-178078021	98JKPD8_lumA
TFE2_TFE2_HUMAN.H11MO.0.A	chr1:111045718-111045729	98JKPD8_lumA
TFE2_TFE2_HUMAN.H11MO.0.A	chr19:29694784-29694795	ANAB5F7_basal
TFE2_TFE2_HUMAN.H11MO.0.A	chr17:50845857-50845868	98JKPD8_lumA
TFE2_TFE2_HUMAN.H11MO.0.A	chr8:22757862-22757873	2GAMBDQ_norm
TFE2_TFE2_HUMAN.H11MO.0.A	chr12:112938509-112938520	98JKPD8_lumA
TFE2_TFE2_HUMAN.H11MO.0.A	chr1:46021600-46021611	98JKPD8_lumA
TFE2_TFE2_HUMAN.H11MO.0.A	chr6:41688980-41688991	ANAB5F7_basal
