motif_id	region_id	sample_id
FOXO3_FOXO3_HUMAN.H11MO.0.B	chr3:52852389-52852399	2GAMBDQ_norm
FOXO3_FOXO3_HUMAN.H11MO.0.B	chr8:18677003-18677013	98JKPD8_lumA
FOXO3_FOXO3_HUMAN.H11MO.0.B	chr15:25839048-25839058	98JKPD8_lumA
FOXO3_FOXO3_HUMAN.H11MO.0.B	chr1:245995187-245995197	98JKPD8_lumA
FOXO3_FOXO3_HUMAN.H11MO.0.B	chr15:74791936-74791946	S6R691V_her2
FOXO3_FOXO3_HUMAN.H11MO.0.B	chr3:54643839-54643849	98JKPD8_lumA
FOXO3_FOXO3_HUMAN.H11MO.0.B	chr3:11706765-11706775	S6R691V_her2
FOXO3_FOXO3_HUMAN.H11MO.0.B	chr7:113870903-113870913	98JKPD8_lumA
FOXO3_FOXO3_HUMAN.H11MO.0.B	chr5:173707022-173707032	98JKPD8_lumA
FOXO3_FOXO3_HUMAN.H11MO.0.B	chr10:13116253-13116263	ANAB5F7_basal
FOXO3_FOXO3_HUMAN.H11MO.0.B	chr18:61882830-61882840	PU24GB8_lumB
FOXO3_FOXO3_HUMAN.H11MO.0.B	chr14:92651436-92651446	ANAB5F7_basal
FOXO3_FOXO3_HUMAN.H11MO.0.B	chr3:144389512-144389522	98JKPD8_lumA
