motif_id	region_id	sample_id
ASCL1_M08055_2.00	chr15:99733404-99733417	ANAB5F7_basal
ASCL1_M08055_2.00	chr9:136950040-136950053	S6R691V_her2
ASCL1_M08055_2.00	chr1:151511737-151511750	98JKPD8_lumA
ASCL1_M08055_2.00	chr11:67670401-67670414	S6R691V_her2
ASCL1_M08055_2.00	chr15:99057791-99057804	ANAB5F7_basal
ASCL1_M08055_2.00	chr1:46517186-46517199	98JKPD8_lumA
ASCL1_M08055_2.00	chr11:2912370-2912383	S6R691V_her2
ASCL1_M08055_2.00	chr18:48357208-48357221	98JKPD8_lumA
ASCL1_M08055_2.00	chr5:177930566-177930579	S6R691V_her2
ASCL1_M08055_2.00	chr1:18132899-18132912	98JKPD8_lumA
ASCL1_M08055_2.00	chr17:50845856-50845869	98JKPD8_lumA
ASCL1_M08055_2.00	chr8:22757861-22757874	2GAMBDQ_norm
ASCL1_M08055_2.00	chr1:172450474-172450487	ANAB5F7_basal
ASCL1_M08055_2.00	chr19:45295115-45295128	ANAB5F7_basal
ASCL1_M08055_2.00	chr6:41688979-41688992	ANAB5F7_basal
ASCL1_M08055_2.00	chr15:88648461-88648474	98JKPD8_lumA
ASCL1_M08055_2.00	chr14:23183487-23183500	98JKPD8_lumA
ASCL1_M08055_2.00	chr5:177939963-177939976	98JKPD8_lumA
ASCL1_M08055_2.00	chr12:130646320-130646333	PU24GB8_lumB
