motif_id	region_id	sample_id
PBX2_MA1113.2	chr22:25110810-25110823	98JKPD8_lumA
PBX2_MA1113.2	chr2:76314763-76314776	2GAMBDQ_norm
PBX2_MA1113.2	chr5:126477983-126477996	2GAMBDQ_norm
PBX2_MA1113.2	chr17:8221238-8221251	98JKPD8_lumA
PBX2_MA1113.2	chr3:126357920-126357933	ANAB5F7_basal
PBX2_MA1113.2	chr3:30562519-30562532	2GAMBDQ_norm
PBX2_MA1113.2	chr19:38962208-38962221	ANAB5F7_basal
PBX2_MA1113.2	chr6:168514563-168514576	98JKPD8_lumA
PBX2_MA1113.2	chr12:121813313-121813326	98JKPD8_lumA
PBX2_MA1113.2	chr22:23891979-23891992	ANAB5F7_basal
