motif_id	region_id	sample_id
ZBT7A_ZBT7A_HUMAN.H11MO.0.A	chr21:39349259-39349268	ANAB5F7_basal
ZBT7A_ZBT7A_HUMAN.H11MO.0.A	chr19:10654186-10654195	ANAB5F7_basal
ZBT7A_ZBT7A_HUMAN.H11MO.0.A	chrX:135521745-135521754	ANAB5F7_basal
ZBT7A_ZBT7A_HUMAN.H11MO.0.A	chr8:37841673-37841682	98JKPD8_lumA
ZBT7A_ZBT7A_HUMAN.H11MO.0.A	chr19:921836-921845	98JKPD8_lumA
ZBT7A_ZBT7A_HUMAN.H11MO.0.A	chr5:139788176-139788185	98JKPD8_lumA
ZBT7A_ZBT7A_HUMAN.H11MO.0.A	chr3:107431595-107431604	98JKPD8_lumA
ZBT7A_ZBT7A_HUMAN.H11MO.0.A	chr12:9648076-9648085	ANAB5F7_basal
ZBT7A_ZBT7A_HUMAN.H11MO.0.A	chr14:105487133-105487142	98JKPD8_lumA
ZBT7A_ZBT7A_HUMAN.H11MO.0.A	chr2:218406010-218406019	98JKPD8_lumA
ZBT7A_ZBT7A_HUMAN.H11MO.0.A	chr1:23778341-23778350	98JKPD8_lumA
ZBT7A_ZBT7A_HUMAN.H11MO.0.A	chr16:3157441-3157450	98JKPD8_lumA
ZBT7A_ZBT7A_HUMAN.H11MO.0.A	chr17:81097638-81097647	98JKPD8_lumA
ZBT7A_ZBT7A_HUMAN.H11MO.0.A	chr12:121794776-121794785	98JKPD8_lumA
ZBT7A_ZBT7A_HUMAN.H11MO.0.A	chr16:72008920-72008929	98JKPD8_lumA
