motif_id	region_id	sample_id
ZN322_ZN322_HUMAN.H11MO.0.B	chr17:68101649-68101669	98JKPD8_lumA
ZN322_ZN322_HUMAN.H11MO.0.B	chr8:142777361-142777381	ANAB5F7_basal
ZN322_ZN322_HUMAN.H11MO.0.B	chr9:136555092-136555112	ANAB5F7_basal
ZN322_ZN322_HUMAN.H11MO.0.B	chr5:56815258-56815278	98JKPD8_lumA
ZN322_ZN322_HUMAN.H11MO.0.B	chr3:155870375-155870395	ANAB5F7_basal
ZN322_ZN322_HUMAN.H11MO.0.B	chr12:132908467-132908487	98JKPD8_lumA
ZN322_ZN322_HUMAN.H11MO.0.B	chr3:84548325-84548345	S6R691V_her2
ZN322_ZN322_HUMAN.H11MO.0.B	chr7:22854370-22854390	ANAB5F7_basal
ZN322_ZN322_HUMAN.H11MO.0.B	chr22:24542923-24542943	S6R691V_her2
ZN322_ZN322_HUMAN.H11MO.0.B	chr19:2475279-2475299	98JKPD8_lumA
ZN322_ZN322_HUMAN.H11MO.0.B	chr1:30685438-30685458	PU24GB8_lumB
ZN322_ZN322_HUMAN.H11MO.0.B	chr9:122264838-122264858	98JKPD8_lumA
ZN322_ZN322_HUMAN.H11MO.0.B	chr1:22412661-22412681	98JKPD8_lumA
ZN322_ZN322_HUMAN.H11MO.0.B	chr6:4401564-4401584	98JKPD8_lumA
ZN322_ZN322_HUMAN.H11MO.0.B	chr8:123541413-123541433	ANAB5F7_basal
ZN322_ZN322_HUMAN.H11MO.0.B	chr9:104091913-104091933	ANAB5F7_basal
ZN322_ZN322_HUMAN.H11MO.0.B	chr12:57094028-57094048	PU24GB8_lumB
ZN322_ZN322_HUMAN.H11MO.0.B	chr22:45535378-45535398	PU24GB8_lumB
ZN322_ZN322_HUMAN.H11MO.0.B	chr1:33176546-33176566	S6R691V_her2
ZN322_ZN322_HUMAN.H11MO.0.B	chr12:52346872-52346892	98JKPD8_lumA
ZN322_ZN322_HUMAN.H11MO.0.B	chr13:98301854-98301874	ANAB5F7_basal
ZN322_ZN322_HUMAN.H11MO.0.B	chr16:84407999-84408019	98JKPD8_lumA
ZN322_ZN322_HUMAN.H11MO.0.B	chr11:100639301-100639321	98JKPD8_lumA
ZN322_ZN322_HUMAN.H11MO.0.B	chr1:228372419-228372439	98JKPD8_lumA
ZN322_ZN322_HUMAN.H11MO.0.B	chr1:152451481-152451501	ANAB5F7_basal
ZN322_ZN322_HUMAN.H11MO.0.B	chr11:79209751-79209771	PU24GB8_lumB
ZN322_ZN322_HUMAN.H11MO.0.B	chr11:114308376-114308396	98JKPD8_lumA
ZN322_ZN322_HUMAN.H11MO.0.B	chr10:127345783-127345803	98JKPD8_lumA
ZN322_ZN322_HUMAN.H11MO.0.B	chr16:1431238-1431258	98JKPD8_lumA
ZN322_ZN322_HUMAN.H11MO.0.B	chr19:17405814-17405834	98JKPD8_lumA
ZN322_ZN322_HUMAN.H11MO.0.B	chr21:41397124-41397144	98JKPD8_lumA
ZN322_ZN322_HUMAN.H11MO.0.B	chr14:51652386-51652406	98JKPD8_lumA
ZN322_ZN322_HUMAN.H11MO.0.B	chr7:54186534-54186554	98JKPD8_lumA
ZN322_ZN322_HUMAN.H11MO.0.B	chr20:29878664-29878684	ANAB5F7_basal
ZN322_ZN322_HUMAN.H11MO.0.B	chr7:67435482-67435502	ANAB5F7_basal
ZN322_ZN322_HUMAN.H11MO.0.B	chr1:16913362-16913382	98JKPD8_lumA
ZN322_ZN322_HUMAN.H11MO.0.B	chr1:21620717-21620737	ANAB5F7_basal
