motif_id	region_id	sample_id
SP4_MA0685.2	chr8:142777366-142777375	ANAB5F7_basal
SP4_MA0685.2	chr19:56121407-56121416	98JKPD8_lumA
SP4_MA0685.2	chr15:97960862-97960871	98JKPD8_lumA
SP4_MA0685.2	chr20:45783922-45783931	ANAB5F7_basal
SP4_MA0685.2	chr1:1308549-1308558	98JKPD8_lumA
SP4_MA0685.2	chr16:86798819-86798828	ANAB5F7_basal
SP4_MA0685.2	chr10:74827019-74827028	98JKPD8_lumA
SP4_MA0685.2	chr1:46719406-46719415	98JKPD8_lumA
SP4_MA0685.2	chr16:16022159-16022168	S6R691V_her2
SP4_MA0685.2	chr12:123584562-123584571	98JKPD8_lumA
SP4_MA0685.2	chr1:54488274-54488283	98JKPD8_lumA
SP4_MA0685.2	chr16:57372938-57372947	ANAB5F7_basal
SP4_MA0685.2	chr4:53644874-53644883	ANAB5F7_basal
SP4_MA0685.2	chr9:38392601-38392610	ANAB5F7_basal
SP4_MA0685.2	chr3:184345998-184346007	ANAB5F7_basal
SP4_MA0685.2	chr1:23778339-23778348	98JKPD8_lumA
SP4_MA0685.2	chr12:26125141-26125150	98JKPD8_lumA
SP4_MA0685.2	chr9:128159749-128159758	98JKPD8_lumA
SP4_MA0685.2	chr1:107686029-107686038	98JKPD8_lumA
SP4_MA0685.2	chr10:133261690-133261699	98JKPD8_lumA
SP4_MA0685.2	chr6:3259228-3259237	ANAB5F7_basal
SP4_MA0685.2	chr1:246506833-246506842	ANAB5F7_basal
SP4_MA0685.2	chr1:18132910-18132919	98JKPD8_lumA
SP4_MA0685.2	chr5:73215995-73216004	98JKPD8_lumA
SP4_MA0685.2	chr5:180353381-180353390	ANAB5F7_basal
SP4_MA0685.2	chr4:76641380-76641389	98JKPD8_lumA
