motif_id	region_id	sample_id
MAFGNFE2L1_MA0089.2	chr13:44108583-44108599	98JKPD8_lumA
MAFGNFE2L1_MA0089.2	chr1:32716429-32716445	ANAB5F7_basal
MAFGNFE2L1_MA0089.2	chr8:40529449-40529465	PU24GB8_lumB
MAFGNFE2L1_MA0089.2	chr7:2758406-2758422	98JKPD8_lumA
MAFGNFE2L1_MA0089.2	chr11:11218916-11218932	98JKPD8_lumA
MAFGNFE2L1_MA0089.2	chr15:29470979-29470995	2GAMBDQ_norm
MAFGNFE2L1_MA0089.2	chr9:94640260-94640276	98JKPD8_lumA
MAFGNFE2L1_MA0089.2	chr17:68735108-68735124	ANAB5F7_basal
MAFGNFE2L1_MA0089.2	chr3:32045745-32045761	S6R691V_her2
MAFGNFE2L1_MA0089.2	chr5:16574197-16574213	98JKPD8_lumA
MAFGNFE2L1_MA0089.2	chr1:181588764-181588780	ANAB5F7_basal
MAFGNFE2L1_MA0089.2	chr15:63349283-63349299	98JKPD8_lumA
MAFGNFE2L1_MA0089.2	chr15:80156121-80156137	S6R691V_her2
MAFGNFE2L1_MA0089.2	chr4:138929486-138929502	98JKPD8_lumA
