motif_id	region_id	sample_id
IRF8_IRF8_HUMAN.H11MO.0.B	chr21:39312497-39312517	PU24GB8_lumB
IRF8_IRF8_HUMAN.H11MO.0.B	chr14:49620637-49620657	98JKPD8_lumA
IRF8_IRF8_HUMAN.H11MO.0.B	chr6:31272227-31272247	ANAB5F7_basal
IRF8_IRF8_HUMAN.H11MO.0.B	chr3:42490437-42490457	98JKPD8_lumA
IRF8_IRF8_HUMAN.H11MO.0.B	chr11:118241702-118241722	98JKPD8_lumA
IRF8_IRF8_HUMAN.H11MO.0.B	chr10:80688776-80688796	98JKPD8_lumA
IRF8_IRF8_HUMAN.H11MO.0.B	chr21:16420332-16420352	ANAB5F7_basal
IRF8_IRF8_HUMAN.H11MO.0.B	chr8:70217443-70217463	ANAB5F7_basal
IRF8_IRF8_HUMAN.H11MO.0.B	chr11:87000440-87000460	98JKPD8_lumA
IRF8_IRF8_HUMAN.H11MO.0.B	chr7:131061228-131061248	98JKPD8_lumA
IRF8_IRF8_HUMAN.H11MO.0.B	chr4:107720139-107720159	98JKPD8_lumA
IRF8_IRF8_HUMAN.H11MO.0.B	chr19:40190601-40190621	ANAB5F7_basal
IRF8_IRF8_HUMAN.H11MO.0.B	chr6:31717864-31717884	98JKPD8_lumA
IRF8_IRF8_HUMAN.H11MO.0.B	chr8:58234617-58234637	ANAB5F7_basal
IRF8_IRF8_HUMAN.H11MO.0.B	chr1:147541090-147541110	98JKPD8_lumA
IRF8_IRF8_HUMAN.H11MO.0.B	chr6:1725037-1725057	ANAB5F7_basal
IRF8_IRF8_HUMAN.H11MO.0.B	chr3:188362630-188362650	S6R691V_her2
IRF8_IRF8_HUMAN.H11MO.0.B	chr5:82278548-82278568	98JKPD8_lumA
IRF8_IRF8_HUMAN.H11MO.0.B	chr7:8151049-8151069	ANAB5F7_basal
IRF8_IRF8_HUMAN.H11MO.0.B	chr6:4313490-4313510	ANAB5F7_basal
IRF8_IRF8_HUMAN.H11MO.0.B	chr20:48227517-48227537	98JKPD8_lumA
IRF8_IRF8_HUMAN.H11MO.0.B	chr11:2191344-2191364	S6R691V_her2
IRF8_IRF8_HUMAN.H11MO.0.B	chr20:11767074-11767094	ANAB5F7_basal
IRF8_IRF8_HUMAN.H11MO.0.B	chr17:11279804-11279824	98JKPD8_lumA
IRF8_IRF8_HUMAN.H11MO.0.B	chr12:55926735-55926755	ANAB5F7_basal
IRF8_IRF8_HUMAN.H11MO.0.B	chr1:224503120-224503140	ANAB5F7_basal
IRF8_IRF8_HUMAN.H11MO.0.B	chr11:39542220-39542240	S6R691V_her2
IRF8_IRF8_HUMAN.H11MO.0.B	chr10:92912732-92912752	S6R691V_her2
IRF8_IRF8_HUMAN.H11MO.0.B	chr7:36295177-36295197	98JKPD8_lumA
IRF8_IRF8_HUMAN.H11MO.0.B	chr1:1360007-1360027	98JKPD8_lumA
IRF8_IRF8_HUMAN.H11MO.0.B	chr11:37427335-37427355	98JKPD8_lumA
IRF8_IRF8_HUMAN.H11MO.0.B	chr9:112167095-112167115	ANAB5F7_basal
IRF8_IRF8_HUMAN.H11MO.0.B	chr9:22052729-22052749	ANAB5F7_basal
IRF8_IRF8_HUMAN.H11MO.0.B	chr8:117972174-117972194	98JKPD8_lumA
IRF8_IRF8_HUMAN.H11MO.0.B	chr10:59709761-59709781	98JKPD8_lumA
IRF8_IRF8_HUMAN.H11MO.0.B	chr4:16044002-16044022	98JKPD8_lumA
IRF8_IRF8_HUMAN.H11MO.0.B	chr2:44270684-44270704	ANAB5F7_basal
IRF8_IRF8_HUMAN.H11MO.0.B	chr4:5012636-5012656	2GAMBDQ_norm
IRF8_IRF8_HUMAN.H11MO.0.B	chr8:114010147-114010167	PU24GB8_lumB
IRF8_IRF8_HUMAN.H11MO.0.B	chr10:84306732-84306752	2GAMBDQ_norm
IRF8_IRF8_HUMAN.H11MO.0.B	chr3:152211632-152211652	98JKPD8_lumA
IRF8_IRF8_HUMAN.H11MO.0.B	chr3:2867669-2867689	PU24GB8_lumB
IRF8_IRF8_HUMAN.H11MO.0.B	chr8:18562912-18562932	98JKPD8_lumA
IRF8_IRF8_HUMAN.H11MO.0.B	chr19:13637146-13637166	98JKPD8_lumA
IRF8_IRF8_HUMAN.H11MO.0.B	chr6:32667143-32667163	98JKPD8_lumA
IRF8_IRF8_HUMAN.H11MO.0.B	chr18:42379144-42379164	2GAMBDQ_norm
IRF8_IRF8_HUMAN.H11MO.0.B	chr2:86227566-86227586	2GAMBDQ_norm
IRF8_IRF8_HUMAN.H11MO.0.B	chr1:223504395-223504415	98JKPD8_lumA
IRF8_IRF8_HUMAN.H11MO.0.B	chr20:33412529-33412549	PU24GB8_lumB
IRF8_IRF8_HUMAN.H11MO.0.B	chr6:151960443-151960463	98JKPD8_lumA
IRF8_IRF8_HUMAN.H11MO.0.B	chr11:62856819-62856839	ANAB5F7_basal
IRF8_IRF8_HUMAN.H11MO.0.B	chr3:188526282-188526302	PU24GB8_lumB
IRF8_IRF8_HUMAN.H11MO.0.B	chrX:67605507-67605527	S6R691V_her2
IRF8_IRF8_HUMAN.H11MO.0.B	chrX:116239818-116239838	ANAB5F7_basal
IRF8_IRF8_HUMAN.H11MO.0.B	chr19:47233072-47233092	PU24GB8_lumB
IRF8_IRF8_HUMAN.H11MO.0.B	chr9:69386741-69386761	98JKPD8_lumA
