motif_id	region_id	sample_id
HNF4A_M08219_2.00	chr1:43389906-43389921	ANAB5F7_basal
HNF4A_M08219_2.00	chr7:149471-149486	ANAB5F7_basal
HNF4A_M08219_2.00	chr10:80664394-80664409	ANAB5F7_basal
HNF4A_M08219_2.00	chr2:46987494-46987509	ANAB5F7_basal
HNF4A_M08219_2.00	chr9:136555198-136555213	ANAB5F7_basal
HNF4A_M08219_2.00	chr1:193058855-193058870	98JKPD8_lumA
HNF4A_M08219_2.00	chr12:26288307-26288322	2GAMBDQ_norm
HNF4A_M08219_2.00	chr2:46955615-46955630	ANAB5F7_basal
HNF4A_M08219_2.00	chr12:38639917-38639932	ANAB5F7_basal
HNF4A_M08219_2.00	chr9:977898-977913	ANAB5F7_basal
HNF4A_M08219_2.00	chr12:124904723-124904738	98JKPD8_lumA
HNF4A_M08219_2.00	chr7:64046057-64046072	ANAB5F7_basal
HNF4A_M08219_2.00	chr4:130538858-130538873	ANAB5F7_basal
HNF4A_M08219_2.00	chr10:59626198-59626213	98JKPD8_lumA
