motif_id	region_id	sample_id
BRAC_BRAC_HUMAN.H11MO.0.A	chr8:124172063-124172083	98JKPD8_lumA
BRAC_BRAC_HUMAN.H11MO.0.A	chr19:49443611-49443631	98JKPD8_lumA
BRAC_BRAC_HUMAN.H11MO.0.A	chr13:54210890-54210910	2GAMBDQ_norm
BRAC_BRAC_HUMAN.H11MO.0.A	chr1:111045713-111045733	98JKPD8_lumA
BRAC_BRAC_HUMAN.H11MO.0.A	chr5:126539298-126539318	98JKPD8_lumA
BRAC_BRAC_HUMAN.H11MO.0.A	chr1:107782595-107782615	98JKPD8_lumA
BRAC_BRAC_HUMAN.H11MO.0.A	chr8:37460617-37460637	98JKPD8_lumA
BRAC_BRAC_HUMAN.H11MO.0.A	chr17:1487201-1487221	98JKPD8_lumA
BRAC_BRAC_HUMAN.H11MO.0.A	chr8:127794111-127794131	98JKPD8_lumA
BRAC_BRAC_HUMAN.H11MO.0.A	chr20:64229655-64229675	98JKPD8_lumA
BRAC_BRAC_HUMAN.H11MO.0.A	chr2:9675756-9675776	ANAB5F7_basal
BRAC_BRAC_HUMAN.H11MO.0.A	chr7:106430557-106430577	98JKPD8_lumA
BRAC_BRAC_HUMAN.H11MO.0.A	chr19:17405810-17405830	98JKPD8_lumA
BRAC_BRAC_HUMAN.H11MO.0.A	chr3:109082104-109082124	ANAB5F7_basal
BRAC_BRAC_HUMAN.H11MO.0.A	chr22:49857818-49857838	PU24GB8_lumB
BRAC_BRAC_HUMAN.H11MO.0.A	chr4:1246658-1246678	S6R691V_her2
BRAC_BRAC_HUMAN.H11MO.0.A	chr1:89126769-89126789	98JKPD8_lumA
BRAC_BRAC_HUMAN.H11MO.0.A	chr2:71308294-71308314	98JKPD8_lumA
BRAC_BRAC_HUMAN.H11MO.0.A	chr3:49461730-49461750	2GAMBDQ_norm
BRAC_BRAC_HUMAN.H11MO.0.A	chr13:54210753-54210773	2GAMBDQ_norm
BRAC_BRAC_HUMAN.H11MO.0.A	chr4:10173911-10173931	98JKPD8_lumA
BRAC_BRAC_HUMAN.H11MO.0.A	chr3:11706767-11706787	S6R691V_her2
BRAC_BRAC_HUMAN.H11MO.0.A	chrX:5537410-5537430	ANAB5F7_basal
BRAC_BRAC_HUMAN.H11MO.0.A	chr5:137218609-137218629	98JKPD8_lumA
BRAC_BRAC_HUMAN.H11MO.0.A	chr14:61322778-61322798	98JKPD8_lumA
BRAC_BRAC_HUMAN.H11MO.0.A	chr6:151960442-151960462	98JKPD8_lumA
BRAC_BRAC_HUMAN.H11MO.0.A	chr7:116355393-116355413	2GAMBDQ_norm
