motif_id	region_id	sample_id
GABPA_M07956_2.00	chr11:3477216-3477229	98JKPD8_lumA
GABPA_M07956_2.00	chr10:110434023-110434036	S6R691V_her2
GABPA_M07956_2.00	chr2:231605002-231605015	2GAMBDQ_norm
GABPA_M07956_2.00	chr6:2841893-2841906	PU24GB8_lumB
GABPA_M07956_2.00	chr1:182391496-182391509	98JKPD8_lumA
GABPA_M07956_2.00	chr8:12665630-12665643	2GAMBDQ_norm
GABPA_M07956_2.00	chr5:112921543-112921556	98JKPD8_lumA
GABPA_M07956_2.00	chr9:127578964-127578977	2GAMBDQ_norm
GABPA_M07956_2.00	chr5:91162559-91162572	2GAMBDQ_norm
GABPA_M07956_2.00	chr19:55675105-55675118	98JKPD8_lumA
GABPA_M07956_2.00	chr8:70217450-70217463	ANAB5F7_basal
GABPA_M07956_2.00	chr5:179907852-179907865	PU24GB8_lumB
GABPA_M07956_2.00	chr8:118620948-118620961	98JKPD8_lumA
GABPA_M07956_2.00	chr2:241735541-241735554	98JKPD8_lumA
GABPA_M07956_2.00	chr2:7008451-7008464	2GAMBDQ_norm
GABPA_M07956_2.00	chr14:104786419-104786432	2GAMBDQ_norm
GABPA_M07956_2.00	chr4:1246658-1246671	S6R691V_her2
GABPA_M07956_2.00	chr1:10794513-10794526	98JKPD8_lumA
GABPA_M07956_2.00	chr17:80025428-80025441	98JKPD8_lumA
