motif_id	region_id	sample_id
NFE2_M07813_2.00	chr13:44108580-44108597	98JKPD8_lumA
NFE2_M07813_2.00	chr2:43881683-43881700	S6R691V_her2
NFE2_M07813_2.00	chr16:56344684-56344701	98JKPD8_lumA
NFE2_M07813_2.00	chr7:2758408-2758425	98JKPD8_lumA
NFE2_M07813_2.00	chr1:32716426-32716443	ANAB5F7_basal
NFE2_M07813_2.00	chr11:11218913-11218930	98JKPD8_lumA
NFE2_M07813_2.00	chr16:78072638-78072655	S6R691V_her2
NFE2_M07813_2.00	chr2:122683207-122683224	98JKPD8_lumA
NFE2_M07813_2.00	chr3:32045747-32045764	S6R691V_her2
NFE2_M07813_2.00	chr17:68735110-68735127	ANAB5F7_basal
NFE2_M07813_2.00	chr5:16574199-16574216	98JKPD8_lumA
NFE2_M07813_2.00	chr3:42117843-42117860	S6R691V_her2
NFE2_M07813_2.00	chr16:7138085-7138102	S6R691V_her2
NFE2_M07813_2.00	chr1:181588761-181588778	ANAB5F7_basal
NFE2_M07813_2.00	chr5:86239789-86239806	2GAMBDQ_norm
NFE2_M07813_2.00	chr15:63349285-63349302	98JKPD8_lumA
NFE2_M07813_2.00	chr4:138929483-138929500	98JKPD8_lumA
