motif_id	region_id	sample_id
MAZ_MAZ_HUMAN.H11MO.0.A	chr8:142777365-142777387	ANAB5F7_basal
MAZ_MAZ_HUMAN.H11MO.0.A	chr19:18636865-18636887	ANAB5F7_basal
MAZ_MAZ_HUMAN.H11MO.0.A	chr22:50276282-50276304	98JKPD8_lumA
MAZ_MAZ_HUMAN.H11MO.0.A	chr6:32972096-32972118	98JKPD8_lumA
MAZ_MAZ_HUMAN.H11MO.0.A	chr19:56121401-56121423	98JKPD8_lumA
MAZ_MAZ_HUMAN.H11MO.0.A	chr19:10654177-10654199	ANAB5F7_basal
MAZ_MAZ_HUMAN.H11MO.0.A	chr19:14518468-14518490	98JKPD8_lumA
MAZ_MAZ_HUMAN.H11MO.0.A	chr16:21502549-21502571	98JKPD8_lumA
MAZ_MAZ_HUMAN.H11MO.0.A	chr19:8832653-8832675	ANAB5F7_basal
MAZ_MAZ_HUMAN.H11MO.0.A	chr19:55654100-55654122	98JKPD8_lumA
MAZ_MAZ_HUMAN.H11MO.0.A	chr2:36598186-36598208	ANAB5F7_basal
MAZ_MAZ_HUMAN.H11MO.0.A	chr14:49620628-49620650	98JKPD8_lumA
MAZ_MAZ_HUMAN.H11MO.0.A	chr21:39312490-39312512	PU24GB8_lumB
MAZ_MAZ_HUMAN.H11MO.0.A	chr15:97960856-97960878	98JKPD8_lumA
MAZ_MAZ_HUMAN.H11MO.0.A	chr6:95577474-95577496	ANAB5F7_basal
MAZ_MAZ_HUMAN.H11MO.0.A	chr3:155870362-155870384	ANAB5F7_basal
MAZ_MAZ_HUMAN.H11MO.0.A	chr2:44167946-44167968	ANAB5F7_basal
MAZ_MAZ_HUMAN.H11MO.0.A	chr17:47987552-47987574	S6R691V_her2
MAZ_MAZ_HUMAN.H11MO.0.A	chr1:32964940-32964962	ANAB5F7_basal
MAZ_MAZ_HUMAN.H11MO.0.A	chr3:9397382-9397404	98JKPD8_lumA
MAZ_MAZ_HUMAN.H11MO.0.A	chr7:22854356-22854378	ANAB5F7_basal
MAZ_MAZ_HUMAN.H11MO.0.A	chr17:48107544-48107566	S6R691V_her2
MAZ_MAZ_HUMAN.H11MO.0.A	chr16:86798813-86798835	ANAB5F7_basal
MAZ_MAZ_HUMAN.H11MO.0.A	chr10:74827018-74827040	98JKPD8_lumA
MAZ_MAZ_HUMAN.H11MO.0.A	chr2:20452636-20452658	ANAB5F7_basal
MAZ_MAZ_HUMAN.H11MO.0.A	chr9:6080470-6080492	ANAB5F7_basal
MAZ_MAZ_HUMAN.H11MO.0.A	chr3:42490437-42490459	98JKPD8_lumA
MAZ_MAZ_HUMAN.H11MO.0.A	chr11:61429971-61429993	ANAB5F7_basal
MAZ_MAZ_HUMAN.H11MO.0.A	chr2:170928900-170928922	ANAB5F7_basal
MAZ_MAZ_HUMAN.H11MO.0.A	chr12:123584561-123584583	98JKPD8_lumA
MAZ_MAZ_HUMAN.H11MO.0.A	chr9:32526233-32526255	98JKPD8_lumA
MAZ_MAZ_HUMAN.H11MO.0.A	chr9:6080397-6080419	ANAB5F7_basal
MAZ_MAZ_HUMAN.H11MO.0.A	chr17:17042434-17042456	98JKPD8_lumA
MAZ_MAZ_HUMAN.H11MO.0.A	chr17:82986309-82986331	ANAB5F7_basal
MAZ_MAZ_HUMAN.H11MO.0.A	chr16:16022160-16022182	S6R691V_her2
MAZ_MAZ_HUMAN.H11MO.0.A	chr1:11926474-11926496	ANAB5F7_basal
MAZ_MAZ_HUMAN.H11MO.0.A	chr13:46894158-46894180	ANAB5F7_basal
MAZ_MAZ_HUMAN.H11MO.0.A	chr1:225811034-225811056	98JKPD8_lumA
MAZ_MAZ_HUMAN.H11MO.0.A	chr3:52238910-52238932	ANAB5F7_basal
MAZ_MAZ_HUMAN.H11MO.0.A	chr7:149127607-149127629	ANAB5F7_basal
MAZ_MAZ_HUMAN.H11MO.0.A	chr8:1745832-1745854	S6R691V_her2
MAZ_MAZ_HUMAN.H11MO.0.A	chr11:844049-844071	98JKPD8_lumA
MAZ_MAZ_HUMAN.H11MO.0.A	chr3:127304353-127304375	S6R691V_her2
MAZ_MAZ_HUMAN.H11MO.0.A	chr15:93048898-93048920	ANAB5F7_basal
MAZ_MAZ_HUMAN.H11MO.0.A	chr12:6871786-6871808	ANAB5F7_basal
MAZ_MAZ_HUMAN.H11MO.0.A	chr19:921835-921857	98JKPD8_lumA
MAZ_MAZ_HUMAN.H11MO.0.A	chr14:94174198-94174220	98JKPD8_lumA
MAZ_MAZ_HUMAN.H11MO.0.A	chr10:133373470-133373492	S6R691V_her2
MAZ_MAZ_HUMAN.H11MO.0.A	chr12:131929171-131929193	98JKPD8_lumA
MAZ_MAZ_HUMAN.H11MO.0.A	chr7:66592163-66592185	ANAB5F7_basal
MAZ_MAZ_HUMAN.H11MO.0.A	chr12:13000837-13000859	98JKPD8_lumA
MAZ_MAZ_HUMAN.H11MO.0.A	chr20:45362914-45362936	98JKPD8_lumA
MAZ_MAZ_HUMAN.H11MO.0.A	chr12:9648062-9648084	ANAB5F7_basal
MAZ_MAZ_HUMAN.H11MO.0.A	chr10:69408799-69408821	98JKPD8_lumA
MAZ_MAZ_HUMAN.H11MO.0.A	chr2:234502412-234502434	ANAB5F7_basal
MAZ_MAZ_HUMAN.H11MO.0.A	chr4:56908284-56908306	98JKPD8_lumA
MAZ_MAZ_HUMAN.H11MO.0.A	chr11:47924596-47924618	98JKPD8_lumA
MAZ_MAZ_HUMAN.H11MO.0.A	chr3:136195864-136195886	98JKPD8_lumA
MAZ_MAZ_HUMAN.H11MO.0.A	chr16:1794583-1794605	98JKPD8_lumA
MAZ_MAZ_HUMAN.H11MO.0.A	chr22:46116646-46116668	98JKPD8_lumA
MAZ_MAZ_HUMAN.H11MO.0.A	chr5:112921534-112921556	98JKPD8_lumA
MAZ_MAZ_HUMAN.H11MO.0.A	chr16:57372937-57372959	ANAB5F7_basal
MAZ_MAZ_HUMAN.H11MO.0.A	chr1:155910964-155910986	98JKPD8_lumA
