motif_id	region_id	sample_id
KLF5_KLF5_HUMAN.H11MO.0.A	chr8:142777361-142777375	ANAB5F7_basal
KLF5_KLF5_HUMAN.H11MO.0.A	chr19:10654184-10654198	ANAB5F7_basal
KLF5_KLF5_HUMAN.H11MO.0.A	chr1:165598316-165598330	ANAB5F7_basal
KLF5_KLF5_HUMAN.H11MO.0.A	chr19:8832654-8832668	ANAB5F7_basal
KLF5_KLF5_HUMAN.H11MO.0.A	chr15:97960862-97960876	98JKPD8_lumA
KLF5_KLF5_HUMAN.H11MO.0.A	chr5:90409933-90409947	98JKPD8_lumA
KLF5_KLF5_HUMAN.H11MO.0.A	chr6:95577472-95577486	ANAB5F7_basal
KLF5_KLF5_HUMAN.H11MO.0.A	chr1:205355149-205355163	ANAB5F7_basal
KLF5_KLF5_HUMAN.H11MO.0.A	chr1:32964941-32964955	ANAB5F7_basal
KLF5_KLF5_HUMAN.H11MO.0.A	chr9:6080404-6080418	ANAB5F7_basal
KLF5_KLF5_HUMAN.H11MO.0.A	chr2:44167953-44167967	ANAB5F7_basal
KLF5_KLF5_HUMAN.H11MO.0.A	chr19:7294493-7294507	98JKPD8_lumA
KLF5_KLF5_HUMAN.H11MO.0.A	chr1:46719401-46719415	98JKPD8_lumA
KLF5_KLF5_HUMAN.H11MO.0.A	chr8:37841674-37841688	98JKPD8_lumA
KLF5_KLF5_HUMAN.H11MO.0.A	chr11:61429978-61429992	ANAB5F7_basal
KLF5_KLF5_HUMAN.H11MO.0.A	chr9:132355266-132355280	PU24GB8_lumB
KLF5_KLF5_HUMAN.H11MO.0.A	chr3:195271300-195271314	ANAB5F7_basal
KLF5_KLF5_HUMAN.H11MO.0.A	chr16:57372938-57372952	ANAB5F7_basal
KLF5_KLF5_HUMAN.H11MO.0.A	chr15:93048899-93048913	ANAB5F7_basal
KLF5_KLF5_HUMAN.H11MO.0.A	chr11:844056-844070	98JKPD8_lumA
KLF5_KLF5_HUMAN.H11MO.0.A	chr19:921837-921851	98JKPD8_lumA
KLF5_KLF5_HUMAN.H11MO.0.A	chr11:47924597-47924611	98JKPD8_lumA
KLF5_KLF5_HUMAN.H11MO.0.A	chr12:131929168-131929182	98JKPD8_lumA
KLF5_KLF5_HUMAN.H11MO.0.A	chr18:79751001-79751015	PU24GB8_lumB
KLF5_KLF5_HUMAN.H11MO.0.A	chr6:20404184-20404198	ANAB5F7_basal
KLF5_KLF5_HUMAN.H11MO.0.A	chr9:38392601-38392615	ANAB5F7_basal
KLF5_KLF5_HUMAN.H11MO.0.A	chr1:166167028-166167042	98JKPD8_lumA
KLF5_KLF5_HUMAN.H11MO.0.A	chr11:67955812-67955826	ANAB5F7_basal
KLF5_KLF5_HUMAN.H11MO.0.A	chr15:65517338-65517352	98JKPD8_lumA
KLF5_KLF5_HUMAN.H11MO.0.A	chr10:133262161-133262175	98JKPD8_lumA
KLF5_KLF5_HUMAN.H11MO.0.A	chr5:139788174-139788188	98JKPD8_lumA
KLF5_KLF5_HUMAN.H11MO.0.A	chr2:112588932-112588946	98JKPD8_lumA
KLF5_KLF5_HUMAN.H11MO.0.A	chr12:57094019-57094033	PU24GB8_lumB
KLF5_KLF5_HUMAN.H11MO.0.A	chr17:44007778-44007792	2GAMBDQ_norm
