motif_id	region_id	sample_id
CEBPA_CEBPA_HUMAN.H11MO.0.A	chr20:17722199-17722211	98JKPD8_lumA
CEBPA_CEBPA_HUMAN.H11MO.0.A	chr10:119001233-119001245	S6R691V_her2
CEBPA_CEBPA_HUMAN.H11MO.0.A	chr1:84772518-84772530	98JKPD8_lumA
CEBPA_CEBPA_HUMAN.H11MO.0.A	chr8:94934027-94934039	PU24GB8_lumB
CEBPA_CEBPA_HUMAN.H11MO.0.A	chr17:1611887-1611899	ANAB5F7_basal
CEBPA_CEBPA_HUMAN.H11MO.0.A	chr12:2550679-2550691	98JKPD8_lumA
CEBPA_CEBPA_HUMAN.H11MO.0.A	chr1:222738616-222738628	ANAB5F7_basal
CEBPA_CEBPA_HUMAN.H11MO.0.A	chr4:165086115-165086127	ANAB5F7_basal
CEBPA_CEBPA_HUMAN.H11MO.0.A	chr15:99733936-99733948	ANAB5F7_basal
CEBPA_CEBPA_HUMAN.H11MO.0.A	chr1:201506597-201506609	98JKPD8_lumA
