motif_id	region_id	sample_id
ZN335_ZN335_HUMAN.H11MO.0.A	chr5:56815256-56815278	98JKPD8_lumA
ZN335_ZN335_HUMAN.H11MO.0.A	chr3:73271457-73271479	2GAMBDQ_norm
ZN335_ZN335_HUMAN.H11MO.0.A	chr14:49620621-49620643	98JKPD8_lumA
ZN335_ZN335_HUMAN.H11MO.0.A	chr3:50150863-50150885	98JKPD8_lumA
ZN335_ZN335_HUMAN.H11MO.0.A	chr2:20446870-20446892	98JKPD8_lumA
ZN335_ZN335_HUMAN.H11MO.0.A	chr2:199955770-199955792	98JKPD8_lumA
ZN335_ZN335_HUMAN.H11MO.0.A	chr19:1262245-1262267	98JKPD8_lumA
ZN335_ZN335_HUMAN.H11MO.0.A	chr11:118241709-118241731	98JKPD8_lumA
ZN335_ZN335_HUMAN.H11MO.0.A	chr1:1074089-1074111	S6R691V_her2
ZN335_ZN335_HUMAN.H11MO.0.A	chr8:2127751-2127773	98JKPD8_lumA
ZN335_ZN335_HUMAN.H11MO.0.A	chr12:12267354-12267376	98JKPD8_lumA
ZN335_ZN335_HUMAN.H11MO.0.A	chr14:39114262-39114284	98JKPD8_lumA
ZN335_ZN335_HUMAN.H11MO.0.A	chr12:32106695-32106717	ANAB5F7_basal
ZN335_ZN335_HUMAN.H11MO.0.A	chr1:36088831-36088853	98JKPD8_lumA
ZN335_ZN335_HUMAN.H11MO.0.A	chr2:20452633-20452655	ANAB5F7_basal
ZN335_ZN335_HUMAN.H11MO.0.A	chr17:39057043-39057065	S6R691V_her2
ZN335_ZN335_HUMAN.H11MO.0.A	chr1:151831281-151831303	98JKPD8_lumA
ZN335_ZN335_HUMAN.H11MO.0.A	chr12:57094028-57094050	PU24GB8_lumB
ZN335_ZN335_HUMAN.H11MO.0.A	chr9:136838419-136838441	S6R691V_her2
ZN335_ZN335_HUMAN.H11MO.0.A	chr1:205542601-205542623	ANAB5F7_basal
ZN335_ZN335_HUMAN.H11MO.0.A	chr16:1794773-1794795	98JKPD8_lumA
ZN335_ZN335_HUMAN.H11MO.0.A	chr11:3477427-3477449	98JKPD8_lumA
ZN335_ZN335_HUMAN.H11MO.0.A	chr20:34579258-34579280	98JKPD8_lumA
ZN335_ZN335_HUMAN.H11MO.0.A	chr8:123417249-123417271	S6R691V_her2
ZN335_ZN335_HUMAN.H11MO.0.A	chr14:50396990-50397012	98JKPD8_lumA
ZN335_ZN335_HUMAN.H11MO.0.A	chr17:356599-356621	98JKPD8_lumA
ZN335_ZN335_HUMAN.H11MO.0.A	chr12:93512173-93512195	98JKPD8_lumA
ZN335_ZN335_HUMAN.H11MO.0.A	chr12:108562827-108562849	98JKPD8_lumA
ZN335_ZN335_HUMAN.H11MO.0.A	chr6:29942199-29942221	ANAB5F7_basal
ZN335_ZN335_HUMAN.H11MO.0.A	chr8:22757861-22757883	2GAMBDQ_norm
ZN335_ZN335_HUMAN.H11MO.0.A	chr16:1431254-1431276	98JKPD8_lumA
ZN335_ZN335_HUMAN.H11MO.0.A	chr13:98143356-98143378	98JKPD8_lumA
ZN335_ZN335_HUMAN.H11MO.0.A	chrX:23667299-23667321	PU24GB8_lumB
ZN335_ZN335_HUMAN.H11MO.0.A	chr1:109274615-109274637	98JKPD8_lumA
ZN335_ZN335_HUMAN.H11MO.0.A	chr1:226115810-226115832	ANAB5F7_basal
ZN335_ZN335_HUMAN.H11MO.0.A	chr16:68276393-68276415	ANAB5F7_basal
ZN335_ZN335_HUMAN.H11MO.0.A	chr22:31269905-31269927	PU24GB8_lumB
ZN335_ZN335_HUMAN.H11MO.0.A	chr4:89308215-89308237	98JKPD8_lumA
ZN335_ZN335_HUMAN.H11MO.0.A	chr9:107918960-107918982	2GAMBDQ_norm
ZN335_ZN335_HUMAN.H11MO.0.A	chr4:1246661-1246683	S6R691V_her2
ZN335_ZN335_HUMAN.H11MO.0.A	chr3:189572721-189572743	98JKPD8_lumA
ZN335_ZN335_HUMAN.H11MO.0.A	chr2:24360234-24360256	98JKPD8_lumA
ZN335_ZN335_HUMAN.H11MO.0.A	chr14:35046998-35047020	98JKPD8_lumA
ZN335_ZN335_HUMAN.H11MO.0.A	chr20:45890994-45891016	98JKPD8_lumA
ZN335_ZN335_HUMAN.H11MO.0.A	chr1:11072735-11072757	98JKPD8_lumA
ZN335_ZN335_HUMAN.H11MO.0.A	chr6:105727195-105727217	2GAMBDQ_norm
ZN335_ZN335_HUMAN.H11MO.0.A	chr10:43077494-43077516	98JKPD8_lumA
ZN335_ZN335_HUMAN.H11MO.0.A	chr9:133418259-133418281	98JKPD8_lumA
ZN335_ZN335_HUMAN.H11MO.0.A	chr10:3122693-3122715	ANAB5F7_basal
ZN335_ZN335_HUMAN.H11MO.0.A	chr6:96837443-96837465	ANAB5F7_basal
ZN335_ZN335_HUMAN.H11MO.0.A	chr15:25694523-25694545	98JKPD8_lumA
ZN335_ZN335_HUMAN.H11MO.0.A	chr6:168396949-168396971	98JKPD8_lumA
