motif_id	region_id	sample_id
Z354A_Z354A_HUMAN.H11MO.0.C	chr3:67621862-67621886	ANAB5F7_basal
Z354A_Z354A_HUMAN.H11MO.0.C	chr1:205543775-205543799	ANAB5F7_basal
Z354A_Z354A_HUMAN.H11MO.0.C	chr1:212234903-212234927	ANAB5F7_basal
Z354A_Z354A_HUMAN.H11MO.0.C	chr2:180715256-180715280	98JKPD8_lumA
Z354A_Z354A_HUMAN.H11MO.0.C	chr9:109120064-109120088	ANAB5F7_basal
Z354A_Z354A_HUMAN.H11MO.0.C	chr7:54665029-54665053	98JKPD8_lumA
Z354A_Z354A_HUMAN.H11MO.0.C	chr13:23488591-23488615	98JKPD8_lumA
Z354A_Z354A_HUMAN.H11MO.0.C	chr8:100238754-100238778	PU24GB8_lumB
Z354A_Z354A_HUMAN.H11MO.0.C	chr10:98960726-98960750	98JKPD8_lumA
Z354A_Z354A_HUMAN.H11MO.0.C	chr10:48012032-48012056	98JKPD8_lumA
Z354A_Z354A_HUMAN.H11MO.0.C	chr21:16420331-16420355	ANAB5F7_basal
Z354A_Z354A_HUMAN.H11MO.0.C	chr15:98799356-98799380	98JKPD8_lumA
Z354A_Z354A_HUMAN.H11MO.0.C	chr10:80688775-80688799	98JKPD8_lumA
Z354A_Z354A_HUMAN.H11MO.0.C	chr20:45409696-45409720	98JKPD8_lumA
Z354A_Z354A_HUMAN.H11MO.0.C	chr5:36301263-36301287	98JKPD8_lumA
Z354A_Z354A_HUMAN.H11MO.0.C	chr3:48356947-48356971	98JKPD8_lumA
Z354A_Z354A_HUMAN.H11MO.0.C	chr8:52340317-52340341	2GAMBDQ_norm
Z354A_Z354A_HUMAN.H11MO.0.C	chr19:13637154-13637178	98JKPD8_lumA
Z354A_Z354A_HUMAN.H11MO.0.C	chr2:232563660-232563684	98JKPD8_lumA
Z354A_Z354A_HUMAN.H11MO.0.C	chr8:140162514-140162538	PU24GB8_lumB
Z354A_Z354A_HUMAN.H11MO.0.C	chr4:6751591-6751615	PU24GB8_lumB
Z354A_Z354A_HUMAN.H11MO.0.C	chr14:22614523-22614547	ANAB5F7_basal
Z354A_Z354A_HUMAN.H11MO.0.C	chr5:14208795-14208819	PU24GB8_lumB
Z354A_Z354A_HUMAN.H11MO.0.C	chr10:9066350-9066374	98JKPD8_lumA
Z354A_Z354A_HUMAN.H11MO.0.C	chr1:8155873-8155897	ANAB5F7_basal
Z354A_Z354A_HUMAN.H11MO.0.C	chr20:48227519-48227543	98JKPD8_lumA
Z354A_Z354A_HUMAN.H11MO.0.C	chr2:215311577-215311601	ANAB5F7_basal
Z354A_Z354A_HUMAN.H11MO.0.C	chr16:10654986-10655010	98JKPD8_lumA
Z354A_Z354A_HUMAN.H11MO.0.C	chr15:60398361-60398385	98JKPD8_lumA
Z354A_Z354A_HUMAN.H11MO.0.C	chr5:143051626-143051650	98JKPD8_lumA
Z354A_Z354A_HUMAN.H11MO.0.C	chr16:25045226-25045250	98JKPD8_lumA
Z354A_Z354A_HUMAN.H11MO.0.C	chr19:11622544-11622568	98JKPD8_lumA
Z354A_Z354A_HUMAN.H11MO.0.C	chr7:131057937-131057961	98JKPD8_lumA
Z354A_Z354A_HUMAN.H11MO.0.C	chr8:119152511-119152535	S6R691V_her2
Z354A_Z354A_HUMAN.H11MO.0.C	chr4:140450594-140450618	S6R691V_her2
Z354A_Z354A_HUMAN.H11MO.0.C	chr1:109275194-109275218	98JKPD8_lumA
Z354A_Z354A_HUMAN.H11MO.0.C	chr10:13700860-13700884	ANAB5F7_basal
Z354A_Z354A_HUMAN.H11MO.0.C	chr15:44456857-44456881	98JKPD8_lumA
Z354A_Z354A_HUMAN.H11MO.0.C	chr1:184829460-184829484	ANAB5F7_basal
Z354A_Z354A_HUMAN.H11MO.0.C	chr6:32609603-32609627	ANAB5F7_basal
Z354A_Z354A_HUMAN.H11MO.0.C	chr2:86480368-86480392	98JKPD8_lumA
Z354A_Z354A_HUMAN.H11MO.0.C	chr12:70795903-70795927	PU24GB8_lumB
Z354A_Z354A_HUMAN.H11MO.0.C	chr1:247813123-247813147	2GAMBDQ_norm
Z354A_Z354A_HUMAN.H11MO.0.C	chr8:18562914-18562938	98JKPD8_lumA
Z354A_Z354A_HUMAN.H11MO.0.C	chr15:92820194-92820218	98JKPD8_lumA
Z354A_Z354A_HUMAN.H11MO.0.C	chr7:73834151-73834175	ANAB5F7_basal
Z354A_Z354A_HUMAN.H11MO.0.C	chr7:27515956-27515980	ANAB5F7_basal
Z354A_Z354A_HUMAN.H11MO.0.C	chr5:32585321-32585345	98JKPD8_lumA
Z354A_Z354A_HUMAN.H11MO.0.C	chr10:73676289-73676313	S6R691V_her2
Z354A_Z354A_HUMAN.H11MO.0.C	chr11:62856818-62856842	ANAB5F7_basal
