motif_id	region_id	sample_id
ESRRA_M07988_2.00	chr17:80900871-80900886	ANAB5F7_basal
ESRRA_M07988_2.00	chr5:32522800-32522815	ANAB5F7_basal
ESRRA_M07988_2.00	chr11:2912368-2912383	S6R691V_her2
ESRRA_M07988_2.00	chr6:31196912-31196927	ANAB5F7_basal
ESRRA_M07988_2.00	chr12:10365405-10365420	ANAB5F7_basal
ESRRA_M07988_2.00	chr11:47924019-47924034	98JKPD8_lumA
ESRRA_M07988_2.00	chr1:225834260-225834275	ANAB5F7_basal
ESRRA_M07988_2.00	chr9:114279007-114279022	ANAB5F7_basal
ESRRA_M07988_2.00	chr15:100464498-100464513	PU24GB8_lumB
ESRRA_M07988_2.00	chr11:76209385-76209400	ANAB5F7_basal
ESRRA_M07988_2.00	chr6:3363892-3363907	S6R691V_her2
ESRRA_M07988_2.00	chr17:30477972-30477987	ANAB5F7_basal
ESRRA_M07988_2.00	chr2:129437453-129437468	ANAB5F7_basal
ESRRA_M07988_2.00	chr4:157997544-157997559	98JKPD8_lumA
