motif_id	region_id	sample_id
ZSC31_ZSC31_HUMAN.H11MO.0.C	chr11:13277672-13277690	98JKPD8_lumA
ZSC31_ZSC31_HUMAN.H11MO.0.C	chr19:21328974-21328992	ANAB5F7_basal
ZSC31_ZSC31_HUMAN.H11MO.0.C	chr9:128067284-128067302	98JKPD8_lumA
ZSC31_ZSC31_HUMAN.H11MO.0.C	chr10:74176847-74176865	98JKPD8_lumA
ZSC31_ZSC31_HUMAN.H11MO.0.C	chr10:43420570-43420588	PU24GB8_lumB
ZSC31_ZSC31_HUMAN.H11MO.0.C	chr16:57372932-57372950	ANAB5F7_basal
ZSC31_ZSC31_HUMAN.H11MO.0.C	chr5:80654687-80654705	98JKPD8_lumA
ZSC31_ZSC31_HUMAN.H11MO.0.C	chr9:36257982-36258000	98JKPD8_lumA
ZSC31_ZSC31_HUMAN.H11MO.0.C	chr9:104928241-104928259	ANAB5F7_basal
ZSC31_ZSC31_HUMAN.H11MO.0.C	chr10:133262160-133262178	98JKPD8_lumA
ZSC31_ZSC31_HUMAN.H11MO.0.C	chr1:43935708-43935726	98JKPD8_lumA
ZSC31_ZSC31_HUMAN.H11MO.0.C	chr11:2912363-2912381	S6R691V_her2
ZSC31_ZSC31_HUMAN.H11MO.0.C	chr12:131929170-131929188	98JKPD8_lumA
ZSC31_ZSC31_HUMAN.H11MO.0.C	chr2:208265556-208265574	ANAB5F7_basal
ZSC31_ZSC31_HUMAN.H11MO.0.C	chr1:151830657-151830675	98JKPD8_lumA
ZSC31_ZSC31_HUMAN.H11MO.0.C	chr2:96951399-96951417	ANAB5F7_basal
ZSC31_ZSC31_HUMAN.H11MO.0.C	chr22:50539292-50539310	S6R691V_her2
ZSC31_ZSC31_HUMAN.H11MO.0.C	chr14:91510711-91510729	S6R691V_her2
ZSC31_ZSC31_HUMAN.H11MO.0.C	chr5:176238416-176238434	98JKPD8_lumA
ZSC31_ZSC31_HUMAN.H11MO.0.C	chr16:4625186-4625204	98JKPD8_lumA
ZSC31_ZSC31_HUMAN.H11MO.0.C	chr4:183444197-183444215	98JKPD8_lumA
ZSC31_ZSC31_HUMAN.H11MO.0.C	chr6:145735697-145735715	98JKPD8_lumA
ZSC31_ZSC31_HUMAN.H11MO.0.C	chr5:34447555-34447573	S6R691V_her2
ZSC31_ZSC31_HUMAN.H11MO.0.C	chr3:127304536-127304554	S6R691V_her2
ZSC31_ZSC31_HUMAN.H11MO.0.C	chr1:11071704-11071722	98JKPD8_lumA
ZSC31_ZSC31_HUMAN.H11MO.0.C	chr9:136944465-136944483	98JKPD8_lumA
ZSC31_ZSC31_HUMAN.H11MO.0.C	chr8:23084301-23084319	98JKPD8_lumA
ZSC31_ZSC31_HUMAN.H11MO.0.C	chr11:27040329-27040347	2GAMBDQ_norm
ZSC31_ZSC31_HUMAN.H11MO.0.C	chr5:16529468-16529486	98JKPD8_lumA
ZSC31_ZSC31_HUMAN.H11MO.0.C	chr1:38959807-38959825	ANAB5F7_basal
ZSC31_ZSC31_HUMAN.H11MO.0.C	chr11:12239882-12239900	98JKPD8_lumA
ZSC31_ZSC31_HUMAN.H11MO.0.C	chr6:3259222-3259240	ANAB5F7_basal
ZSC31_ZSC31_HUMAN.H11MO.0.C	chr7:149125715-149125733	ANAB5F7_basal
ZSC31_ZSC31_HUMAN.H11MO.0.C	chr5:177939965-177939983	98JKPD8_lumA
ZSC31_ZSC31_HUMAN.H11MO.0.C	chr17:1180057-1180075	98JKPD8_lumA
ZSC31_ZSC31_HUMAN.H11MO.0.C	chr7:98878791-98878809	98JKPD8_lumA
ZSC31_ZSC31_HUMAN.H11MO.0.C	chr5:174707284-174707302	98JKPD8_lumA
ZSC31_ZSC31_HUMAN.H11MO.0.C	chr15:100335657-100335675	ANAB5F7_basal
ZSC31_ZSC31_HUMAN.H11MO.0.C	chr8:26448250-26448268	98JKPD8_lumA
ZSC31_ZSC31_HUMAN.H11MO.0.C	chr1:48817734-48817752	98JKPD8_lumA
ZSC31_ZSC31_HUMAN.H11MO.0.C	chr2:10014111-10014129	ANAB5F7_basal
ZSC31_ZSC31_HUMAN.H11MO.0.C	chr7:79452383-79452401	2GAMBDQ_norm
ZSC31_ZSC31_HUMAN.H11MO.0.C	chr13:91348164-91348182	98JKPD8_lumA
