motif_id	region_id	sample_id
RELB_RELB_HUMAN.H11MO.0.C	chr19:55599761-55599773	S6R691V_her2
RELB_RELB_HUMAN.H11MO.0.C	chr18:12991387-12991399	ANAB5F7_basal
RELB_RELB_HUMAN.H11MO.0.C	chr12:108562633-108562645	98JKPD8_lumA
RELB_RELB_HUMAN.H11MO.0.C	chr1:109181865-109181877	S6R691V_her2
RELB_RELB_HUMAN.H11MO.0.C	chr3:24273719-24273731	PU24GB8_lumB
RELB_RELB_HUMAN.H11MO.0.C	chr3:109082119-109082131	ANAB5F7_basal
RELB_RELB_HUMAN.H11MO.0.C	chr6:1725058-1725070	ANAB5F7_basal
RELB_RELB_HUMAN.H11MO.0.C	chr17:50532420-50532432	S6R691V_her2
RELB_RELB_HUMAN.H11MO.0.C	chr17:17783072-17783084	ANAB5F7_basal
RELB_RELB_HUMAN.H11MO.0.C	chr4:120948677-120948689	ANAB5F7_basal
