motif_id	region_id	sample_id
TFAP2C_MA0814.2	chr17:68101585-68101599	98JKPD8_lumA
TFAP2C_MA0814.2	chr8:142777355-142777369	ANAB5F7_basal
TFAP2C_MA0814.2	chr19:10654179-10654193	ANAB5F7_basal
TFAP2C_MA0814.2	chr1:170074750-170074764	ANAB5F7_basal
TFAP2C_MA0814.2	chr6:168390751-168390765	98JKPD8_lumA
TFAP2C_MA0814.2	chr8:100212884-100212898	PU24GB8_lumB
TFAP2C_MA0814.2	chr2:170928913-170928927	ANAB5F7_basal
TFAP2C_MA0814.2	chr1:111204068-111204082	98JKPD8_lumA
TFAP2C_MA0814.2	chr11:125569521-125569535	ANAB5F7_basal
TFAP2C_MA0814.2	chr7:98879117-98879131	98JKPD8_lumA
TFAP2C_MA0814.2	chr5:138337469-138337483	98JKPD8_lumA
TFAP2C_MA0814.2	chr9:97511883-97511897	ANAB5F7_basal
TFAP2C_MA0814.2	chr17:4997322-4997336	98JKPD8_lumA
TFAP2C_MA0814.2	chr16:89383136-89383150	S6R691V_her2
TFAP2C_MA0814.2	chr7:129592946-129592960	ANAB5F7_basal
TFAP2C_MA0814.2	chr7:158828712-158828726	98JKPD8_lumA
TFAP2C_MA0814.2	chr8:23084402-23084416	98JKPD8_lumA
TFAP2C_MA0814.2	chr6:133838038-133838052	ANAB5F7_basal
