motif_id	region_id	sample_id
KLF7_MA1959.1	chr8:142777366-142777375	ANAB5F7_basal
KLF7_MA1959.1	chr19:56121407-56121416	98JKPD8_lumA
KLF7_MA1959.1	chr15:97960862-97960871	98JKPD8_lumA
KLF7_MA1959.1	chr20:62122387-62122396	98JKPD8_lumA
KLF7_MA1959.1	chr1:1308549-1308558	98JKPD8_lumA
KLF7_MA1959.1	chr19:58347695-58347704	98JKPD8_lumA
KLF7_MA1959.1	chr10:74827019-74827028	98JKPD8_lumA
KLF7_MA1959.1	chr1:46719406-46719415	98JKPD8_lumA
KLF7_MA1959.1	chr16:16022159-16022168	S6R691V_her2
KLF7_MA1959.1	chr12:123584562-123584571	98JKPD8_lumA
KLF7_MA1959.1	chr1:54488274-54488283	98JKPD8_lumA
KLF7_MA1959.1	chr2:219388092-219388101	98JKPD8_lumA
KLF7_MA1959.1	chr16:57372938-57372947	ANAB5F7_basal
KLF7_MA1959.1	chr15:93048899-93048908	ANAB5F7_basal
KLF7_MA1959.1	chr22:39399674-39399683	ANAB5F7_basal
KLF7_MA1959.1	chr15:65517343-65517352	98JKPD8_lumA
KLF7_MA1959.1	chr7:73822383-73822392	98JKPD8_lumA
KLF7_MA1959.1	chr11:67955816-67955825	ANAB5F7_basal
KLF7_MA1959.1	chr2:112588932-112588941	98JKPD8_lumA
KLF7_MA1959.1	chr9:38392601-38392610	ANAB5F7_basal
KLF7_MA1959.1	chr5:139788174-139788183	98JKPD8_lumA
KLF7_MA1959.1	chr19:48589290-48589299	98JKPD8_lumA
KLF7_MA1959.1	chr3:184345998-184346007	ANAB5F7_basal
KLF7_MA1959.1	chr19:55600441-55600450	S6R691V_her2
KLF7_MA1959.1	chr1:23778339-23778348	98JKPD8_lumA
KLF7_MA1959.1	chr12:26125141-26125150	98JKPD8_lumA
KLF7_MA1959.1	chr9:128159749-128159758	98JKPD8_lumA
KLF7_MA1959.1	chr1:107686029-107686038	98JKPD8_lumA
KLF7_MA1959.1	chr10:133261690-133261699	98JKPD8_lumA
KLF7_MA1959.1	chr8:38466890-38466899	98JKPD8_lumA
KLF7_MA1959.1	chr6:3259228-3259237	ANAB5F7_basal
KLF7_MA1959.1	chr5:73215995-73216004	98JKPD8_lumA
KLF7_MA1959.1	chr5:180353381-180353390	ANAB5F7_basal
KLF7_MA1959.1	chr8:4951754-4951763	2GAMBDQ_norm
