motif_id	region_id	sample_id
FOXC1_FOXC1_HUMAN.H11MO.0.C	chr22:25110801-25110816	98JKPD8_lumA
FOXC1_FOXC1_HUMAN.H11MO.0.C	chr18:73942414-73942429	S6R691V_her2
FOXC1_FOXC1_HUMAN.H11MO.0.C	chr5:126539287-126539302	98JKPD8_lumA
FOXC1_FOXC1_HUMAN.H11MO.0.C	chr8:18676999-18677014	98JKPD8_lumA
FOXC1_FOXC1_HUMAN.H11MO.0.C	chr15:25839047-25839062	98JKPD8_lumA
FOXC1_FOXC1_HUMAN.H11MO.0.C	chr10:78302234-78302249	98JKPD8_lumA
FOXC1_FOXC1_HUMAN.H11MO.0.C	chr5:71932819-71932834	98JKPD8_lumA
FOXC1_FOXC1_HUMAN.H11MO.0.C	chr1:236523041-236523056	PU24GB8_lumB
FOXC1_FOXC1_HUMAN.H11MO.0.C	chr1:158029158-158029173	2GAMBDQ_norm
FOXC1_FOXC1_HUMAN.H11MO.0.C	chr18:12991906-12991921	ANAB5F7_basal
FOXC1_FOXC1_HUMAN.H11MO.0.C	chr4:183443808-183443823	98JKPD8_lumA
FOXC1_FOXC1_HUMAN.H11MO.0.C	chr6:48649954-48649969	98JKPD8_lumA
FOXC1_FOXC1_HUMAN.H11MO.0.C	chr14:77318286-77318301	98JKPD8_lumA
FOXC1_FOXC1_HUMAN.H11MO.0.C	chr2:57419170-57419185	PU24GB8_lumB
FOXC1_FOXC1_HUMAN.H11MO.0.C	chr12:45695220-45695235	S6R691V_her2
FOXC1_FOXC1_HUMAN.H11MO.0.C	chr3:11706761-11706776	S6R691V_her2
FOXC1_FOXC1_HUMAN.H11MO.0.C	chr3:54643835-54643850	98JKPD8_lumA
FOXC1_FOXC1_HUMAN.H11MO.0.C	chr4:123284506-123284521	2GAMBDQ_norm
FOXC1_FOXC1_HUMAN.H11MO.0.C	chr11:75723267-75723282	ANAB5F7_basal
FOXC1_FOXC1_HUMAN.H11MO.0.C	chr15:60327092-60327107	98JKPD8_lumA
FOXC1_FOXC1_HUMAN.H11MO.0.C	chr4:144748744-144748759	2GAMBDQ_norm
FOXC1_FOXC1_HUMAN.H11MO.0.C	chr7:50681726-50681741	ANAB5F7_basal
FOXC1_FOXC1_HUMAN.H11MO.0.C	chr5:173707018-173707033	98JKPD8_lumA
FOXC1_FOXC1_HUMAN.H11MO.0.C	chr8:63474546-63474561	ANAB5F7_basal
FOXC1_FOXC1_HUMAN.H11MO.0.C	chr12:19620298-19620313	98JKPD8_lumA
