motif_id	region_id	sample_id
RXRG_RXRG_HUMAN.H11MO.0.B	chr2:175181685-175181698	ANAB5F7_basal
RXRG_RXRG_HUMAN.H11MO.0.B	chr2:199955781-199955794	98JKPD8_lumA
RXRG_RXRG_HUMAN.H11MO.0.B	chr1:193058857-193058870	98JKPD8_lumA
RXRG_RXRG_HUMAN.H11MO.0.B	chr1:146051712-146051725	ANAB5F7_basal
RXRG_RXRG_HUMAN.H11MO.0.B	chr12:124904725-124904738	98JKPD8_lumA
RXRG_RXRG_HUMAN.H11MO.0.B	chr8:6852214-6852227	2GAMBDQ_norm
RXRG_RXRG_HUMAN.H11MO.0.B	chr10:50740116-50740129	98JKPD8_lumA
RXRG_RXRG_HUMAN.H11MO.0.B	chr2:84920440-84920453	ANAB5F7_basal
RXRG_RXRG_HUMAN.H11MO.0.B	chr8:127832915-127832928	98JKPD8_lumA
RXRG_RXRG_HUMAN.H11MO.0.B	chr12:68240474-68240487	PU24GB8_lumB
