motif_id	region_id	sample_id
PHOX2B_MA0681.2	chr6:41689579-41689595	ANAB5F7_basal
PHOX2B_MA0681.2	chrX:103686809-103686825	98JKPD8_lumA
PHOX2B_MA0681.2	chr10:98960729-98960745	98JKPD8_lumA
PHOX2B_MA0681.2	chr9:120942264-120942280	S6R691V_her2
PHOX2B_MA0681.2	chr8:40529440-40529456	PU24GB8_lumB
PHOX2B_MA0681.2	chr10:37416039-37416055	98JKPD8_lumA
PHOX2B_MA0681.2	chr6:106799800-106799816	S6R691V_her2
PHOX2B_MA0681.2	chr1:245995187-245995203	98JKPD8_lumA
PHOX2B_MA0681.2	chr6:2162408-2162424	ANAB5F7_basal
PHOX2B_MA0681.2	chr18:7272531-7272547	98JKPD8_lumA
PHOX2B_MA0681.2	chr20:25036658-25036674	PU24GB8_lumB
PHOX2B_MA0681.2	chr5:32585325-32585341	98JKPD8_lumA
PHOX2B_MA0681.2	chr6:122744421-122744437	ANAB5F7_basal
PHOX2B_MA0681.2	chr19:38962206-38962222	ANAB5F7_basal
PHOX2B_MA0681.2	chr1:188548371-188548387	98JKPD8_lumA
PHOX2B_MA0681.2	chr10:15343811-15343827	2GAMBDQ_norm
PHOX2B_MA0681.2	chr2:223052522-223052538	98JKPD8_lumA
PHOX2B_MA0681.2	chr7:66100787-66100803	ANAB5F7_basal
PHOX2B_MA0681.2	chr8:119892780-119892796	98JKPD8_lumA
PHOX2B_MA0681.2	chr7:127706207-127706223	98JKPD8_lumA
PHOX2B_MA0681.2	chrX:40225027-40225043	98JKPD8_lumA
PHOX2B_MA0681.2	chr2:203782536-203782552	98JKPD8_lumA
PHOX2B_MA0681.2	chr7:90421734-90421750	2GAMBDQ_norm
