motif_id	region_id	sample_id
SP3_SP3_HUMAN.H11MO.0.B	chr19:18636871-18636891	ANAB5F7_basal
SP3_SP3_HUMAN.H11MO.0.B	chr16:21502553-21502573	98JKPD8_lumA
SP3_SP3_HUMAN.H11MO.0.B	chr19:56121401-56121421	98JKPD8_lumA
SP3_SP3_HUMAN.H11MO.0.B	chr6:32972098-32972118	98JKPD8_lumA
SP3_SP3_HUMAN.H11MO.0.B	chr8:142777360-142777380	ANAB5F7_basal
SP3_SP3_HUMAN.H11MO.0.B	chr1:230910353-230910373	ANAB5F7_basal
SP3_SP3_HUMAN.H11MO.0.B	chr4:17577171-17577191	98JKPD8_lumA
SP3_SP3_HUMAN.H11MO.0.B	chr19:10654178-10654198	ANAB5F7_basal
SP3_SP3_HUMAN.H11MO.0.B	chr6:166382940-166382960	ANAB5F7_basal
SP3_SP3_HUMAN.H11MO.0.B	chr11:74493206-74493226	98JKPD8_lumA
SP3_SP3_HUMAN.H11MO.0.B	chr17:8156861-8156881	98JKPD8_lumA
SP3_SP3_HUMAN.H11MO.0.B	chr19:14518470-14518490	98JKPD8_lumA
SP3_SP3_HUMAN.H11MO.0.B	chr19:3337125-3337145	98JKPD8_lumA
SP3_SP3_HUMAN.H11MO.0.B	chr6:31739952-31739972	ANAB5F7_basal
SP3_SP3_HUMAN.H11MO.0.B	chr10:73997808-73997828	98JKPD8_lumA
SP3_SP3_HUMAN.H11MO.0.B	chr19:56121315-56121335	98JKPD8_lumA
SP3_SP3_HUMAN.H11MO.0.B	chr18:8990708-8990728	98JKPD8_lumA
SP3_SP3_HUMAN.H11MO.0.B	chr20:63739534-63739554	S6R691V_her2
SP3_SP3_HUMAN.H11MO.0.B	chr17:8139027-8139047	98JKPD8_lumA
SP3_SP3_HUMAN.H11MO.0.B	chr12:132908451-132908471	98JKPD8_lumA
SP3_SP3_HUMAN.H11MO.0.B	chr15:97960857-97960877	98JKPD8_lumA
SP3_SP3_HUMAN.H11MO.0.B	chr1:9473163-9473183	S6R691V_her2
SP3_SP3_HUMAN.H11MO.0.B	chr3:9397383-9397403	98JKPD8_lumA
SP3_SP3_HUMAN.H11MO.0.B	chr5:90409932-90409952	98JKPD8_lumA
SP3_SP3_HUMAN.H11MO.0.B	chr3:155870368-155870388	ANAB5F7_basal
SP3_SP3_HUMAN.H11MO.0.B	chr11:61429977-61429997	ANAB5F7_basal
SP3_SP3_HUMAN.H11MO.0.B	chr22:19432324-19432344	PU24GB8_lumB
SP3_SP3_HUMAN.H11MO.0.B	chr14:35046383-35046403	98JKPD8_lumA
SP3_SP3_HUMAN.H11MO.0.B	chr2:208266223-208266243	ANAB5F7_basal
SP3_SP3_HUMAN.H11MO.0.B	chr16:71884272-71884292	ANAB5F7_basal
SP3_SP3_HUMAN.H11MO.0.B	chr9:132355266-132355286	PU24GB8_lumB
SP3_SP3_HUMAN.H11MO.0.B	chr5:132294368-132294388	98JKPD8_lumA
SP3_SP3_HUMAN.H11MO.0.B	chr9:128067276-128067296	98JKPD8_lumA
SP3_SP3_HUMAN.H11MO.0.B	chr2:44167952-44167972	ANAB5F7_basal
SP3_SP3_HUMAN.H11MO.0.B	chr7:111562442-111562462	ANAB5F7_basal
SP3_SP3_HUMAN.H11MO.0.B	chr10:74827024-74827044	98JKPD8_lumA
SP3_SP3_HUMAN.H11MO.0.B	chr16:86798813-86798833	ANAB5F7_basal
SP3_SP3_HUMAN.H11MO.0.B	chr2:170928906-170928926	ANAB5F7_basal
SP3_SP3_HUMAN.H11MO.0.B	chr14:74493663-74493683	98JKPD8_lumA
SP3_SP3_HUMAN.H11MO.0.B	chr2:17878643-17878663	98JKPD8_lumA
SP3_SP3_HUMAN.H11MO.0.B	chr6:95577465-95577485	ANAB5F7_basal
SP3_SP3_HUMAN.H11MO.0.B	chr15:89690759-89690779	98JKPD8_lumA
SP3_SP3_HUMAN.H11MO.0.B	chr9:6080403-6080423	ANAB5F7_basal
SP3_SP3_HUMAN.H11MO.0.B	chr19:7294487-7294507	98JKPD8_lumA
SP3_SP3_HUMAN.H11MO.0.B	chr16:16022160-16022180	S6R691V_her2
SP3_SP3_HUMAN.H11MO.0.B	chr17:67993846-67993866	98JKPD8_lumA
SP3_SP3_HUMAN.H11MO.0.B	chr1:1324785-1324805	98JKPD8_lumA
SP3_SP3_HUMAN.H11MO.0.B	chr3:195271295-195271315	ANAB5F7_basal
SP3_SP3_HUMAN.H11MO.0.B	chr8:37841670-37841690	98JKPD8_lumA
SP3_SP3_HUMAN.H11MO.0.B	chr3:115196011-115196031	S6R691V_her2
SP3_SP3_HUMAN.H11MO.0.B	chr9:32526233-32526253	98JKPD8_lumA
SP3_SP3_HUMAN.H11MO.0.B	chr8:102791262-102791282	ANAB5F7_basal
SP3_SP3_HUMAN.H11MO.0.B	chr11:60376694-60376714	S6R691V_her2
SP3_SP3_HUMAN.H11MO.0.B	chr12:123584557-123584577	98JKPD8_lumA
SP3_SP3_HUMAN.H11MO.0.B	chr3:3179732-3179752	98JKPD8_lumA
SP3_SP3_HUMAN.H11MO.0.B	chr10:133373476-133373496	S6R691V_her2
SP3_SP3_HUMAN.H11MO.0.B	chr3:127304353-127304373	S6R691V_her2
SP3_SP3_HUMAN.H11MO.0.B	chr5:112921540-112921560	98JKPD8_lumA
SP3_SP3_HUMAN.H11MO.0.B	chr11:64844892-64844912	ANAB5F7_basal
SP3_SP3_HUMAN.H11MO.0.B	chr3:52238926-52238946	ANAB5F7_basal
SP3_SP3_HUMAN.H11MO.0.B	chr22:46116635-46116655	98JKPD8_lumA
SP3_SP3_HUMAN.H11MO.0.B	chr17:17042436-17042456	98JKPD8_lumA
SP3_SP3_HUMAN.H11MO.0.B	chr9:136866375-136866395	98JKPD8_lumA
SP3_SP3_HUMAN.H11MO.0.B	chr16:57372933-57372953	ANAB5F7_basal
SP3_SP3_HUMAN.H11MO.0.B	chr10:69408794-69408814	98JKPD8_lumA
SP3_SP3_HUMAN.H11MO.0.B	chr11:844055-844075	98JKPD8_lumA
SP3_SP3_HUMAN.H11MO.0.B	chr5:55535026-55535046	98JKPD8_lumA
SP3_SP3_HUMAN.H11MO.0.B	chr8:51358892-51358912	ANAB5F7_basal
SP3_SP3_HUMAN.H11MO.0.B	chr19:35268490-35268510	98JKPD8_lumA
SP3_SP3_HUMAN.H11MO.0.B	chr15:93048898-93048918	ANAB5F7_basal
SP3_SP3_HUMAN.H11MO.0.B	chr19:921836-921856	98JKPD8_lumA
SP3_SP3_HUMAN.H11MO.0.B	chr4:56908280-56908300	98JKPD8_lumA
SP3_SP3_HUMAN.H11MO.0.B	chr9:122264839-122264859	98JKPD8_lumA
SP3_SP3_HUMAN.H11MO.0.B	chr2:45643739-45643759	ANAB5F7_basal
SP3_SP3_HUMAN.H11MO.0.B	chr8:23682891-23682911	98JKPD8_lumA
SP3_SP3_HUMAN.H11MO.0.B	chr15:65517338-65517358	98JKPD8_lumA
SP3_SP3_HUMAN.H11MO.0.B	chr2:231388615-231388635	ANAB5F7_basal
SP3_SP3_HUMAN.H11MO.0.B	chr11:47924597-47924617	98JKPD8_lumA
SP3_SP3_HUMAN.H11MO.0.B	chr3:136195866-136195886	98JKPD8_lumA
SP3_SP3_HUMAN.H11MO.0.B	chr12:9648068-9648088	ANAB5F7_basal
SP3_SP3_HUMAN.H11MO.0.B	chr6:89638984-89639004	ANAB5F7_basal
SP3_SP3_HUMAN.H11MO.0.B	chr16:1408255-1408275	98JKPD8_lumA
SP3_SP3_HUMAN.H11MO.0.B	chr22:39399676-39399696	ANAB5F7_basal
SP3_SP3_HUMAN.H11MO.0.B	chr7:73822377-73822397	98JKPD8_lumA
SP3_SP3_HUMAN.H11MO.0.B	chr18:79988506-79988526	98JKPD8_lumA
SP3_SP3_HUMAN.H11MO.0.B	chr5:80654684-80654704	98JKPD8_lumA
SP3_SP3_HUMAN.H11MO.0.B	chr4:40057128-40057148	98JKPD8_lumA
SP3_SP3_HUMAN.H11MO.0.B	chr12:131929167-131929187	98JKPD8_lumA
SP3_SP3_HUMAN.H11MO.0.B	chr6:34391745-34391765	ANAB5F7_basal
SP3_SP3_HUMAN.H11MO.0.B	chr10:133262156-133262176	98JKPD8_lumA
SP3_SP3_HUMAN.H11MO.0.B	chr3:112561840-112561860	98JKPD8_lumA
SP3_SP3_HUMAN.H11MO.0.B	chr17:82986315-82986335	ANAB5F7_basal
SP3_SP3_HUMAN.H11MO.0.B	chr9:36257979-36257999	98JKPD8_lumA
SP3_SP3_HUMAN.H11MO.0.B	chr1:205543987-205544007	ANAB5F7_basal
