motif_id	region_id	sample_id
PPARA_PPARA_HUMAN.H11MO.0.B	chr7:2354309-2354326	98JKPD8_lumA
PPARA_PPARA_HUMAN.H11MO.0.B	chr20:45362923-45362940	98JKPD8_lumA
PPARA_PPARA_HUMAN.H11MO.0.B	chr6:20404185-20404202	ANAB5F7_basal
PPARA_PPARA_HUMAN.H11MO.0.B	chr4:74157982-74157999	98JKPD8_lumA
PPARA_PPARA_HUMAN.H11MO.0.B	chr12:124904720-124904737	98JKPD8_lumA
PPARA_PPARA_HUMAN.H11MO.0.B	chr15:65533443-65533460	98JKPD8_lumA
PPARA_PPARA_HUMAN.H11MO.0.B	chr10:129253328-129253345	ANAB5F7_basal
PPARA_PPARA_HUMAN.H11MO.0.B	chr3:45688624-45688641	98JKPD8_lumA
PPARA_PPARA_HUMAN.H11MO.0.B	chr5:179699449-179699466	98JKPD8_lumA
PPARA_PPARA_HUMAN.H11MO.0.B	chr3:110879967-110879984	98JKPD8_lumA
PPARA_PPARA_HUMAN.H11MO.0.B	chr9:93004179-93004196	98JKPD8_lumA
PPARA_PPARA_HUMAN.H11MO.0.B	chr19:10653512-10653529	ANAB5F7_basal
PPARA_PPARA_HUMAN.H11MO.0.B	chr20:45890991-45891008	98JKPD8_lumA
PPARA_PPARA_HUMAN.H11MO.0.B	chr2:46988098-46988115	ANAB5F7_basal
PPARA_PPARA_HUMAN.H11MO.0.B	chr4:23920972-23920989	ANAB5F7_basal
PPARA_PPARA_HUMAN.H11MO.0.B	chr1:16913364-16913381	98JKPD8_lumA
PPARA_PPARA_HUMAN.H11MO.0.B	chr16:14370788-14370805	98JKPD8_lumA
PPARA_PPARA_HUMAN.H11MO.0.B	chr5:173056008-173056025	98JKPD8_lumA
PPARA_PPARA_HUMAN.H11MO.0.B	chr20:47333687-47333704	98JKPD8_lumA
PPARA_PPARA_HUMAN.H11MO.0.B	chr20:14470762-14470779	98JKPD8_lumA
PPARA_PPARA_HUMAN.H11MO.0.B	chr2:235444986-235445003	98JKPD8_lumA
PPARA_PPARA_HUMAN.H11MO.0.B	chr3:40780841-40780858	2GAMBDQ_norm
PPARA_PPARA_HUMAN.H11MO.0.B	chr6:133838039-133838056	ANAB5F7_basal
PPARA_PPARA_HUMAN.H11MO.0.B	chr6:31272512-31272529	ANAB5F7_basal
PPARA_PPARA_HUMAN.H11MO.0.B	chr4:41130058-41130075	98JKPD8_lumA
PPARA_PPARA_HUMAN.H11MO.0.B	chr6:6703867-6703884	PU24GB8_lumB
