motif_id	region_id	sample_id
PRDM1_M08276_2.00	chr6:152983585-152983600	ANAB5F7_basal
PRDM1_M08276_2.00	chr6:43770603-43770618	98JKPD8_lumA
PRDM1_M08276_2.00	chr3:52852380-52852395	2GAMBDQ_norm
PRDM1_M08276_2.00	chr12:12095158-12095173	PU24GB8_lumB
PRDM1_M08276_2.00	chr20:45362921-45362936	98JKPD8_lumA
PRDM1_M08276_2.00	chr8:94553299-94553314	PU24GB8_lumB
PRDM1_M08276_2.00	chr6:32666617-32666632	98JKPD8_lumA
PRDM1_M08276_2.00	chr6:1725040-1725055	ANAB5F7_basal
PRDM1_M08276_2.00	chr6:32666372-32666387	ANAB5F7_basal
PRDM1_M08276_2.00	chr17:11279806-11279821	98JKPD8_lumA
PRDM1_M08276_2.00	chr10:43094054-43094069	98JKPD8_lumA
PRDM1_M08276_2.00	chr5:80184785-80184800	PU24GB8_lumB
PRDM1_M08276_2.00	chr1:22412946-22412961	98JKPD8_lumA
PRDM1_M08276_2.00	chr11:12137588-12137603	98JKPD8_lumA
PRDM1_M08276_2.00	chr10:110804063-110804078	98JKPD8_lumA
PRDM1_M08276_2.00	chr2:235444984-235444999	98JKPD8_lumA
PRDM1_M08276_2.00	chr12:26114711-26114726	2GAMBDQ_norm
PRDM1_M08276_2.00	chr13:73249003-73249018	ANAB5F7_basal
PRDM1_M08276_2.00	chr16:9008528-9008543	98JKPD8_lumA
PRDM1_M08276_2.00	chr13:54210756-54210771	2GAMBDQ_norm
PRDM1_M08276_2.00	chr8:80010740-80010755	ANAB5F7_basal
PRDM1_M08276_2.00	chr10:79147378-79147393	98JKPD8_lumA
PRDM1_M08276_2.00	chr22:50697113-50697128	ANAB5F7_basal
PRDM1_M08276_2.00	chr7:16814246-16814261	98JKPD8_lumA
PRDM1_M08276_2.00	chr17:80911878-80911893	ANAB5F7_basal
PRDM1_M08276_2.00	chr18:59685532-59685547	98JKPD8_lumA
PRDM1_M08276_2.00	chr13:24175543-24175558	98JKPD8_lumA
PRDM1_M08276_2.00	chr10:86535142-86535157	98JKPD8_lumA
PRDM1_M08276_2.00	chr3:16842468-16842483	ANAB5F7_basal
PRDM1_M08276_2.00	chr20:33412539-33412554	PU24GB8_lumB
PRDM1_M08276_2.00	chr1:84019816-84019831	S6R691V_her2
