motif_id	region_id	sample_id
MAFK_MA0496.3	chr2:30756212-30756227	S6R691V_her2
MAFK_MA0496.3	chr13:44108583-44108598	98JKPD8_lumA
MAFK_MA0496.3	chr1:32716429-32716444	ANAB5F7_basal
MAFK_MA0496.3	chr11:11218916-11218931	98JKPD8_lumA
MAFK_MA0496.3	chr1:109299126-109299141	98JKPD8_lumA
MAFK_MA0496.3	chr20:64229660-64229675	98JKPD8_lumA
MAFK_MA0496.3	chr19:53555051-53555066	ANAB5F7_basal
MAFK_MA0496.3	chr17:68735109-68735124	ANAB5F7_basal
MAFK_MA0496.3	chr3:32045746-32045761	S6R691V_her2
MAFK_MA0496.3	chr3:105882769-105882784	ANAB5F7_basal
MAFK_MA0496.3	chr4:101191883-101191898	98JKPD8_lumA
MAFK_MA0496.3	chr19:20665067-20665082	ANAB5F7_basal
MAFK_MA0496.3	chr19:45295109-45295124	ANAB5F7_basal
MAFK_MA0496.3	chr1:157377454-157377469	ANAB5F7_basal
MAFK_MA0496.3	chr4:17702053-17702068	98JKPD8_lumA
MAFK_MA0496.3	chr5:16574198-16574213	98JKPD8_lumA
MAFK_MA0496.3	chr3:4814495-4814510	ANAB5F7_basal
