motif_id	region_id	sample_id
SMCA5_SMCA5_HUMAN.H11MO.0.C	chr6:110874520-110874535	ANAB5F7_basal
SMCA5_SMCA5_HUMAN.H11MO.0.C	chr19:15038419-15038434	ANAB5F7_basal
SMCA5_SMCA5_HUMAN.H11MO.0.C	chr2:29688661-29688676	ANAB5F7_basal
SMCA5_SMCA5_HUMAN.H11MO.0.C	chr20:8693825-8693840	ANAB5F7_basal
SMCA5_SMCA5_HUMAN.H11MO.0.C	chr1:189811660-189811675	98JKPD8_lumA
SMCA5_SMCA5_HUMAN.H11MO.0.C	chr20:49307219-49307234	98JKPD8_lumA
SMCA5_SMCA5_HUMAN.H11MO.0.C	chr11:92758238-92758253	2GAMBDQ_norm
SMCA5_SMCA5_HUMAN.H11MO.0.C	chr14:69086685-69086700	ANAB5F7_basal
SMCA5_SMCA5_HUMAN.H11MO.0.C	chr2:163213696-163213711	ANAB5F7_basal
SMCA5_SMCA5_HUMAN.H11MO.0.C	chr7:17504160-17504175	S6R691V_her2
SMCA5_SMCA5_HUMAN.H11MO.0.C	chr1:201330123-201330138	2GAMBDQ_norm
SMCA5_SMCA5_HUMAN.H11MO.0.C	chr14:91126898-91126913	S6R691V_her2
SMCA5_SMCA5_HUMAN.H11MO.0.C	chr7:101943053-101943068	98JKPD8_lumA
