motif_id	region_id	sample_id
CTCF_MA1929.1	chr19:3337140-3337174	98JKPD8_lumA
CTCF_MA1929.1	chr9:128128146-128128180	98JKPD8_lumA
CTCF_MA1929.1	chr18:8990698-8990732	98JKPD8_lumA
CTCF_MA1929.1	chr12:12267268-12267302	98JKPD8_lumA
CTCF_MA1929.1	chr19:45824262-45824296	98JKPD8_lumA
CTCF_MA1929.1	chr11:121722670-121722704	ANAB5F7_basal
CTCF_MA1929.1	chr5:178078058-178078092	98JKPD8_lumA
CTCF_MA1929.1	chr9:136950021-136950055	S6R691V_her2
CTCF_MA1929.1	chr8:100212869-100212903	PU24GB8_lumB
CTCF_MA1929.1	chr7:54665024-54665058	98JKPD8_lumA
CTCF_MA1929.1	chr9:132355244-132355278	PU24GB8_lumB
CTCF_MA1929.1	chr2:170928906-170928940	ANAB5F7_basal
CTCF_MA1929.1	chr5:141850062-141850096	98JKPD8_lumA
CTCF_MA1929.1	chr12:32106697-32106731	ANAB5F7_basal
CTCF_MA1929.1	chr7:44885877-44885911	ANAB5F7_basal
CTCF_MA1929.1	chr19:20039302-20039336	98JKPD8_lumA
CTCF_MA1929.1	chr1:36088810-36088844	98JKPD8_lumA
CTCF_MA1929.1	chr12:6946676-6946710	98JKPD8_lumA
CTCF_MA1929.1	chr11:1486265-1486299	98JKPD8_lumA
CTCF_MA1929.1	chr3:136195846-136195880	98JKPD8_lumA
CTCF_MA1929.1	chr3:127304508-127304542	S6R691V_her2
CTCF_MA1929.1	chr10:119001241-119001275	S6R691V_her2
CTCF_MA1929.1	chr3:11272336-11272370	98JKPD8_lumA
CTCF_MA1929.1	chr4:37826551-37826585	98JKPD8_lumA
CTCF_MA1929.1	chr3:127304359-127304393	S6R691V_her2
CTCF_MA1929.1	chr15:93048877-93048911	ANAB5F7_basal
CTCF_MA1929.1	chr13:112931571-112931605	98JKPD8_lumA
CTCF_MA1929.1	chr19:1266328-1266362	98JKPD8_lumA
CTCF_MA1929.1	chr7:96709592-96709626	98JKPD8_lumA
CTCF_MA1929.1	chr19:11659060-11659094	98JKPD8_lumA
CTCF_MA1929.1	chr6:31356814-31356848	98JKPD8_lumA
CTCF_MA1929.1	chr3:11591722-11591756	ANAB5F7_basal
CTCF_MA1929.1	chr12:47651796-47651830	98JKPD8_lumA
CTCF_MA1929.1	chr19:10891881-10891915	ANAB5F7_basal
CTCF_MA1929.1	chr22:24543296-24543330	S6R691V_her2
CTCF_MA1929.1	chr2:88627201-88627235	98JKPD8_lumA
CTCF_MA1929.1	chr16:31459217-31459251	98JKPD8_lumA
CTCF_MA1929.1	chr9:129497302-129497336	98JKPD8_lumA
CTCF_MA1929.1	chr21:36157295-36157329	PU24GB8_lumB
CTCF_MA1929.1	chr5:154273262-154273296	S6R691V_her2
CTCF_MA1929.1	chr1:84772520-84772554	98JKPD8_lumA
CTCF_MA1929.1	chr10:28503299-28503333	ANAB5F7_basal
CTCF_MA1929.1	chr3:64122565-64122599	2GAMBDQ_norm
CTCF_MA1929.1	chr7:77439777-77439811	98JKPD8_lumA
CTCF_MA1929.1	chr16:74843793-74843827	S6R691V_her2
CTCF_MA1929.1	chr1:147611914-147611948	98JKPD8_lumA
CTCF_MA1929.1	chr6:31271490-31271524	98JKPD8_lumA
CTCF_MA1929.1	chr10:123559519-123559553	ANAB5F7_basal
CTCF_MA1929.1	chr10:46598162-46598196	ANAB5F7_basal
CTCF_MA1929.1	chr10:59626171-59626205	98JKPD8_lumA
CTCF_MA1929.1	chr22:49966878-49966912	98JKPD8_lumA
CTCF_MA1929.1	chr18:48357205-48357239	98JKPD8_lumA
CTCF_MA1929.1	chr14:32934631-32934665	98JKPD8_lumA
CTCF_MA1929.1	chr4:40056028-40056062	98JKPD8_lumA
CTCF_MA1929.1	chr1:154559544-154559578	98JKPD8_lumA
CTCF_MA1929.1	chr13:44917732-44917766	98JKPD8_lumA
CTCF_MA1929.1	chr17:80989124-80989158	98JKPD8_lumA
CTCF_MA1929.1	chr5:171420530-171420564	98JKPD8_lumA
CTCF_MA1929.1	chr17:47843203-47843237	2GAMBDQ_norm
CTCF_MA1929.1	chr3:127455924-127455958	ANAB5F7_basal
CTCF_MA1929.1	chr1:1360482-1360516	98JKPD8_lumA
CTCF_MA1929.1	chr9:137044744-137044778	98JKPD8_lumA
