motif_id	region_id	sample_id
SUH_SUH_HUMAN.H11MO.0.A	chr5:134436955-134436966	98JKPD8_lumA
SUH_SUH_HUMAN.H11MO.0.A	chr5:128349442-128349453	S6R691V_her2
SUH_SUH_HUMAN.H11MO.0.A	chr15:88246945-88246956	ANAB5F7_basal
SUH_SUH_HUMAN.H11MO.0.A	chr12:95003771-95003782	ANAB5F7_basal
SUH_SUH_HUMAN.H11MO.0.A	chr22:49966810-49966821	98JKPD8_lumA
SUH_SUH_HUMAN.H11MO.0.A	chrX:23783467-23783478	98JKPD8_lumA
SUH_SUH_HUMAN.H11MO.0.A	chr14:103141013-103141024	ANAB5F7_basal
SUH_SUH_HUMAN.H11MO.0.A	chr14:72496223-72496234	ANAB5F7_basal
SUH_SUH_HUMAN.H11MO.0.A	chr21:29509805-29509816	98JKPD8_lumA
SUH_SUH_HUMAN.H11MO.0.A	chr20:50790666-50790677	S6R691V_her2
SUH_SUH_HUMAN.H11MO.0.A	chr2:46164260-46164271	S6R691V_her2
SUH_SUH_HUMAN.H11MO.0.A	chr2:36820757-36820768	ANAB5F7_basal
SUH_SUH_HUMAN.H11MO.0.A	chr6:168016958-168016969	ANAB5F7_basal
