motif_id	region_id	sample_id
NKX25_NKX25_HUMAN.H11MO.0.B	chr3:127304365-127304373	S6R691V_her2
NKX25_NKX25_HUMAN.H11MO.0.B	chr20:32483625-32483633	98JKPD8_lumA
NKX25_NKX25_HUMAN.H11MO.0.B	chr19:18374442-18374450	PU24GB8_lumB
NKX25_NKX25_HUMAN.H11MO.0.B	chr19:15038418-15038426	ANAB5F7_basal
NKX25_NKX25_HUMAN.H11MO.0.B	chr10:110567914-110567922	98JKPD8_lumA
NKX25_NKX25_HUMAN.H11MO.0.B	chr1:200891076-200891084	ANAB5F7_basal
NKX25_NKX25_HUMAN.H11MO.0.B	chr5:34673955-34673963	ANAB5F7_basal
NKX25_NKX25_HUMAN.H11MO.0.B	chr20:54093730-54093738	ANAB5F7_basal
NKX25_NKX25_HUMAN.H11MO.0.B	chr12:131912669-131912677	2GAMBDQ_norm
NKX25_NKX25_HUMAN.H11MO.0.B	chr16:56607688-56607696	98JKPD8_lumA
NKX25_NKX25_HUMAN.H11MO.0.B	chr16:29710538-29710546	ANAB5F7_basal
NKX25_NKX25_HUMAN.H11MO.0.B	chr14:33508331-33508339	98JKPD8_lumA
NKX25_NKX25_HUMAN.H11MO.0.B	chr7:151126417-151126425	S6R691V_her2
NKX25_NKX25_HUMAN.H11MO.0.B	chr19:3361486-3361494	98JKPD8_lumA
