motif_id	region_id	sample_id
BMAL1_BMAL1_HUMAN.H11MO.0.A	chr1:153725226-153725237	ANAB5F7_basal
BMAL1_BMAL1_HUMAN.H11MO.0.A	chr19:43755628-43755639	ANAB5F7_basal
BMAL1_BMAL1_HUMAN.H11MO.0.A	chr19:3374837-3374848	98JKPD8_lumA
BMAL1_BMAL1_HUMAN.H11MO.0.A	chr4:17614589-17614600	98JKPD8_lumA
BMAL1_BMAL1_HUMAN.H11MO.0.A	chr10:113552123-113552134	2GAMBDQ_norm
BMAL1_BMAL1_HUMAN.H11MO.0.A	chr20:49288962-49288973	98JKPD8_lumA
BMAL1_BMAL1_HUMAN.H11MO.0.A	chr6:24865088-24865099	ANAB5F7_basal
BMAL1_BMAL1_HUMAN.H11MO.0.A	chr18:75802335-75802346	PU24GB8_lumB
BMAL1_BMAL1_HUMAN.H11MO.0.A	chr2:26011885-26011896	98JKPD8_lumA
BMAL1_BMAL1_HUMAN.H11MO.0.A	chr5:65066578-65066589	98JKPD8_lumA
BMAL1_BMAL1_HUMAN.H11MO.0.A	chr13:75353892-75353903	98JKPD8_lumA
