motif_id	region_id	sample_id
MAFB_MAFB_HUMAN.H11MO.0.B	chr2:30756216-30756227	S6R691V_her2
MAFB_MAFB_HUMAN.H11MO.0.B	chr1:32716431-32716442	ANAB5F7_basal
MAFB_MAFB_HUMAN.H11MO.0.B	chr11:63848085-63848096	ANAB5F7_basal
MAFB_MAFB_HUMAN.H11MO.0.B	chr1:109393149-109393160	98JKPD8_lumA
MAFB_MAFB_HUMAN.H11MO.0.B	chr11:11218918-11218929	98JKPD8_lumA
MAFB_MAFB_HUMAN.H11MO.0.B	chr8:6434290-6434301	S6R691V_her2
MAFB_MAFB_HUMAN.H11MO.0.B	chr1:153452595-153452606	ANAB5F7_basal
MAFB_MAFB_HUMAN.H11MO.0.B	chr16:89320395-89320406	ANAB5F7_basal
MAFB_MAFB_HUMAN.H11MO.0.B	chr3:32045748-32045759	S6R691V_her2
MAFB_MAFB_HUMAN.H11MO.0.B	chr13:49692108-49692119	ANAB5F7_basal
MAFB_MAFB_HUMAN.H11MO.0.B	chr6:29762859-29762870	ANAB5F7_basal
MAFB_MAFB_HUMAN.H11MO.0.B	chr4:101191885-101191896	98JKPD8_lumA
MAFB_MAFB_HUMAN.H11MO.0.B	chr16:65960666-65960677	S6R691V_her2
MAFB_MAFB_HUMAN.H11MO.0.B	chr6:6662047-6662058	ANAB5F7_basal
