motif_id	region_id	sample_id
HOXB13_MA0901.2	chr10:98960732-98960746	98JKPD8_lumA
HOXB13_MA0901.2	chrY:12227879-12227893	2GAMBDQ_norm
HOXB13_MA0901.2	chr3:48356960-48356974	98JKPD8_lumA
HOXB13_MA0901.2	chr12:89918927-89918941	PU24GB8_lumB
HOXB13_MA0901.2	chr4:169305348-169305362	98JKPD8_lumA
HOXB13_MA0901.2	chr8:119152511-119152525	S6R691V_her2
HOXB13_MA0901.2	chr2:99276414-99276428	98JKPD8_lumA
HOXB13_MA0901.2	chr10:15343810-15343824	2GAMBDQ_norm
HOXB13_MA0901.2	chr21:43827512-43827526	ANAB5F7_basal
HOXB13_MA0901.2	chr7:135013004-135013018	2GAMBDQ_norm
HOXB13_MA0901.2	chr1:188548374-188548388	98JKPD8_lumA
HOXB13_MA0901.2	chr5:170112163-170112177	ANAB5F7_basal
HOXB13_MA0901.2	chr6:155202028-155202042	2GAMBDQ_norm
HOXB13_MA0901.2	chr4:183438769-183438783	ANAB5F7_basal
HOXB13_MA0901.2	chr19:38962196-38962210	ANAB5F7_basal
HOXB13_MA0901.2	chr8:123240565-123240579	ANAB5F7_basal
HOXB13_MA0901.2	chr1:45001561-45001575	2GAMBDQ_norm
HOXB13_MA0901.2	chr16:19067263-19067277	98JKPD8_lumA
