motif_id	region_id	sample_id
FOXJ2_FOXJ2_HUMAN.H11MO.0.C	chr1:72896017-72896027	2GAMBDQ_norm
FOXJ2_FOXJ2_HUMAN.H11MO.0.C	chr17:8173589-8173599	98JKPD8_lumA
FOXJ2_FOXJ2_HUMAN.H11MO.0.C	chr1:205544053-205544063	ANAB5F7_basal
FOXJ2_FOXJ2_HUMAN.H11MO.0.C	chr17:54744983-54744993	98JKPD8_lumA
FOXJ2_FOXJ2_HUMAN.H11MO.0.C	chr10:98960729-98960739	98JKPD8_lumA
FOXJ2_FOXJ2_HUMAN.H11MO.0.C	chr1:182382483-182382493	98JKPD8_lumA
FOXJ2_FOXJ2_HUMAN.H11MO.0.C	chr10:9066346-9066356	98JKPD8_lumA
FOXJ2_FOXJ2_HUMAN.H11MO.0.C	chr16:50147353-50147363	ANAB5F7_basal
FOXJ2_FOXJ2_HUMAN.H11MO.0.C	chr1:66286523-66286533	S6R691V_her2
FOXJ2_FOXJ2_HUMAN.H11MO.0.C	chr6:77535386-77535396	S6R691V_her2
FOXJ2_FOXJ2_HUMAN.H11MO.0.C	chr7:38703118-38703128	2GAMBDQ_norm
FOXJ2_FOXJ2_HUMAN.H11MO.0.C	chr4:144748746-144748756	2GAMBDQ_norm
FOXJ2_FOXJ2_HUMAN.H11MO.0.C	chr19:38962208-38962218	ANAB5F7_basal
FOXJ2_FOXJ2_HUMAN.H11MO.0.C	chr17:16536481-16536491	ANAB5F7_basal
FOXJ2_FOXJ2_HUMAN.H11MO.0.C	chr4:183438771-183438781	ANAB5F7_basal
FOXJ2_FOXJ2_HUMAN.H11MO.0.C	chr18:61882828-61882838	PU24GB8_lumB
