motif_id	region_id	sample_id
MXI1_MXI1_HUMAN.H11MO.0.A	chr9:128128160-128128175	98JKPD8_lumA
MXI1_MXI1_HUMAN.H11MO.0.A	chr6:30717279-30717294	ANAB5F7_basal
MXI1_MXI1_HUMAN.H11MO.0.A	chr4:17614583-17614598	98JKPD8_lumA
MXI1_MXI1_HUMAN.H11MO.0.A	chr3:33097265-33097280	S6R691V_her2
MXI1_MXI1_HUMAN.H11MO.0.A	chr5:132294070-132294085	98JKPD8_lumA
MXI1_MXI1_HUMAN.H11MO.0.A	chr19:3374832-3374847	98JKPD8_lumA
MXI1_MXI1_HUMAN.H11MO.0.A	chr20:49593168-49593183	98JKPD8_lumA
MXI1_MXI1_HUMAN.H11MO.0.A	chr9:136866372-136866387	98JKPD8_lumA
MXI1_MXI1_HUMAN.H11MO.0.A	chr2:38515628-38515643	98JKPD8_lumA
MXI1_MXI1_HUMAN.H11MO.0.A	chr1:205543991-205544006	ANAB5F7_basal
MXI1_MXI1_HUMAN.H11MO.0.A	chr16:31459215-31459230	98JKPD8_lumA
MXI1_MXI1_HUMAN.H11MO.0.A	chr19:17282683-17282698	ANAB5F7_basal
MXI1_MXI1_HUMAN.H11MO.0.A	chr18:48357203-48357218	98JKPD8_lumA
MXI1_MXI1_HUMAN.H11MO.0.A	chr14:68506826-68506841	98JKPD8_lumA
MXI1_MXI1_HUMAN.H11MO.0.A	chr10:102133567-102133582	PU24GB8_lumB
MXI1_MXI1_HUMAN.H11MO.0.A	chr11:125591891-125591906	98JKPD8_lumA
MXI1_MXI1_HUMAN.H11MO.0.A	chr8:22757856-22757871	2GAMBDQ_norm
MXI1_MXI1_HUMAN.H11MO.0.A	chr12:112938511-112938526	98JKPD8_lumA
MXI1_MXI1_HUMAN.H11MO.0.A	chr20:54084578-54084593	98JKPD8_lumA
MXI1_MXI1_HUMAN.H11MO.0.A	chr15:67542532-67542547	98JKPD8_lumA
