motif_id	region_id	sample_id
RBAK_M07595_2.00	chr11:3477204-3477219	98JKPD8_lumA
RBAK_M07595_2.00	chr11:83285935-83285950	ANAB5F7_basal
RBAK_M07595_2.00	chr14:49620628-49620643	98JKPD8_lumA
RBAK_M07595_2.00	chr10:16966417-16966432	ANAB5F7_basal
RBAK_M07595_2.00	chr17:48107551-48107566	S6R691V_her2
RBAK_M07595_2.00	chr17:47987677-47987692	S6R691V_her2
RBAK_M07595_2.00	chr3:40453193-40453208	98JKPD8_lumA
RBAK_M07595_2.00	chr2:170928905-170928920	ANAB5F7_basal
RBAK_M07595_2.00	chr8:37841674-37841689	98JKPD8_lumA
RBAK_M07595_2.00	chr8:19415239-19415254	ANAB5F7_basal
RBAK_M07595_2.00	chr6:95577382-95577397	ANAB5F7_basal
RBAK_M07595_2.00	chr11:47924598-47924613	98JKPD8_lumA
RBAK_M07595_2.00	chr2:218406011-218406026	98JKPD8_lumA
RBAK_M07595_2.00	chr14:73852002-73852017	98JKPD8_lumA
RBAK_M07595_2.00	chr13:112931572-112931587	98JKPD8_lumA
RBAK_M07595_2.00	chrY:15175003-15175018	2GAMBDQ_norm
RBAK_M07595_2.00	chr8:70217448-70217463	ANAB5F7_basal
RBAK_M07595_2.00	chr6:31356815-31356830	98JKPD8_lumA
RBAK_M07595_2.00	chr14:24442556-24442571	98JKPD8_lumA
RBAK_M07595_2.00	chr1:1163433-1163448	98JKPD8_lumA
RBAK_M07595_2.00	chr12:19129732-19129747	98JKPD8_lumA
RBAK_M07595_2.00	chr18:48357197-48357212	98JKPD8_lumA
RBAK_M07595_2.00	chr20:36951266-36951281	S6R691V_her2
RBAK_M07595_2.00	chr1:8120999-8121014	ANAB5F7_basal
RBAK_M07595_2.00	chr3:137768657-137768672	ANAB5F7_basal
RBAK_M07595_2.00	chr7:55887574-55887589	ANAB5F7_basal
RBAK_M07595_2.00	chr17:81082650-81082665	98JKPD8_lumA
RBAK_M07595_2.00	chr19:10653517-10653532	ANAB5F7_basal
RBAK_M07595_2.00	chr1:224503130-224503145	ANAB5F7_basal
RBAK_M07595_2.00	chr4:52522290-52522305	98JKPD8_lumA
RBAK_M07595_2.00	chr17:11279804-11279819	98JKPD8_lumA
RBAK_M07595_2.00	chr17:2375301-2375316	98JKPD8_lumA
RBAK_M07595_2.00	chr8:141415223-141415238	ANAB5F7_basal
RBAK_M07595_2.00	chr1:2015148-2015163	2GAMBDQ_norm
