motif_id	region_id	sample_id
TFAP2A_M07784_2.00	chr17:68101585-68101600	98JKPD8_lumA
TFAP2A_M07784_2.00	chr2:170928913-170928928	ANAB5F7_basal
TFAP2A_M07784_2.00	chr9:136950045-136950060	S6R691V_her2
TFAP2A_M07784_2.00	chr5:132294066-132294081	98JKPD8_lumA
TFAP2A_M07784_2.00	chr19:35268497-35268512	98JKPD8_lumA
TFAP2A_M07784_2.00	chr10:73874632-73874647	ANAB5F7_basal
TFAP2A_M07784_2.00	chr13:101474497-101474512	ANAB5F7_basal
TFAP2A_M07784_2.00	chr16:88245919-88245934	ANAB5F7_basal
TFAP2A_M07784_2.00	chr19:2475290-2475305	98JKPD8_lumA
TFAP2A_M07784_2.00	chr21:42973939-42973954	ANAB5F7_basal
TFAP2A_M07784_2.00	chr12:9648077-9648092	ANAB5F7_basal
TFAP2A_M07784_2.00	chr7:98879117-98879132	98JKPD8_lumA
TFAP2A_M07784_2.00	chr7:149075-149090	ANAB5F7_basal
TFAP2A_M07784_2.00	chr9:97511883-97511898	ANAB5F7_basal
TFAP2A_M07784_2.00	chr4:76949579-76949594	ANAB5F7_basal
TFAP2A_M07784_2.00	chr1:111204068-111204083	98JKPD8_lumA
TFAP2A_M07784_2.00	chr11:129608931-129608946	ANAB5F7_basal
TFAP2A_M07784_2.00	chr5:138337469-138337484	98JKPD8_lumA
TFAP2A_M07784_2.00	chr7:105521725-105521740	ANAB5F7_basal
TFAP2A_M07784_2.00	chr8:143719066-143719081	S6R691V_her2
TFAP2A_M07784_2.00	chr9:42568708-42568723	98JKPD8_lumA
TFAP2A_M07784_2.00	chr17:4997321-4997336	98JKPD8_lumA
TFAP2A_M07784_2.00	chr12:10191970-10191985	ANAB5F7_basal
TFAP2A_M07784_2.00	chr4:183505370-183505385	98JKPD8_lumA
TFAP2A_M07784_2.00	chr9:136555691-136555706	ANAB5F7_basal
TFAP2A_M07784_2.00	chr16:52387278-52387293	S6R691V_her2
TFAP2A_M07784_2.00	chr3:194091282-194091297	S6R691V_her2
TFAP2A_M07784_2.00	chr5:132266460-132266475	98JKPD8_lumA
