motif_id	region_id	sample_id
SP2_M08326_2.00	chr8:142777366-142777375	ANAB5F7_basal
SP2_M08326_2.00	chr19:56121407-56121416	98JKPD8_lumA
SP2_M08326_2.00	chr19:14518480-14518489	98JKPD8_lumA
SP2_M08326_2.00	chr15:97960862-97960871	98JKPD8_lumA
SP2_M08326_2.00	chr2:36598183-36598192	ANAB5F7_basal
SP2_M08326_2.00	chr11:61429983-61429992	ANAB5F7_basal
SP2_M08326_2.00	chr19:47274836-47274845	98JKPD8_lumA
SP2_M08326_2.00	chr10:74827019-74827028	98JKPD8_lumA
SP2_M08326_2.00	chr1:46719406-46719415	98JKPD8_lumA
SP2_M08326_2.00	chr1:54488274-54488283	98JKPD8_lumA
SP2_M08326_2.00	chr16:57372938-57372947	ANAB5F7_basal
SP2_M08326_2.00	chr15:93048899-93048908	ANAB5F7_basal
SP2_M08326_2.00	chr2:231388620-231388629	ANAB5F7_basal
SP2_M08326_2.00	chr1:207818337-207818346	98JKPD8_lumA
SP2_M08326_2.00	chr19:921834-921843	98JKPD8_lumA
SP2_M08326_2.00	chr10:69408800-69408809	98JKPD8_lumA
SP2_M08326_2.00	chr12:9648074-9648083	ANAB5F7_basal
SP2_M08326_2.00	chr7:73822383-73822392	98JKPD8_lumA
SP2_M08326_2.00	chr2:112588932-112588941	98JKPD8_lumA
SP2_M08326_2.00	chr9:38392601-38392610	ANAB5F7_basal
SP2_M08326_2.00	chr19:48589290-48589299	98JKPD8_lumA
SP2_M08326_2.00	chr3:184345998-184346007	ANAB5F7_basal
SP2_M08326_2.00	chr1:23778339-23778348	98JKPD8_lumA
SP2_M08326_2.00	chr12:26125141-26125150	98JKPD8_lumA
SP2_M08326_2.00	chr1:107686029-107686038	98JKPD8_lumA
SP2_M08326_2.00	chr10:133261690-133261699	98JKPD8_lumA
