motif_id	region_id	sample_id
AP2A_AP2A_HUMAN.H11MO.0.A	chr19:49443607-49443622	98JKPD8_lumA
AP2A_AP2A_HUMAN.H11MO.0.A	chr16:1794217-1794232	98JKPD8_lumA
AP2A_AP2A_HUMAN.H11MO.0.A	chr3:11600789-11600804	ANAB5F7_basal
AP2A_AP2A_HUMAN.H11MO.0.A	chr5:132294066-132294081	98JKPD8_lumA
AP2A_AP2A_HUMAN.H11MO.0.A	chr13:101474497-101474512	ANAB5F7_basal
AP2A_AP2A_HUMAN.H11MO.0.A	chr19:2475290-2475305	98JKPD8_lumA
AP2A_AP2A_HUMAN.H11MO.0.A	chr16:88245919-88245934	ANAB5F7_basal
AP2A_AP2A_HUMAN.H11MO.0.A	chr15:71071363-71071378	98JKPD8_lumA
AP2A_AP2A_HUMAN.H11MO.0.A	chr7:149075-149090	ANAB5F7_basal
AP2A_AP2A_HUMAN.H11MO.0.A	chr7:98879117-98879132	98JKPD8_lumA
AP2A_AP2A_HUMAN.H11MO.0.A	chr1:111204068-111204083	98JKPD8_lumA
AP2A_AP2A_HUMAN.H11MO.0.A	chr9:97511883-97511898	ANAB5F7_basal
AP2A_AP2A_HUMAN.H11MO.0.A	chr11:129608931-129608946	ANAB5F7_basal
AP2A_AP2A_HUMAN.H11MO.0.A	chr5:138337469-138337484	98JKPD8_lumA
AP2A_AP2A_HUMAN.H11MO.0.A	chr16:89383136-89383151	S6R691V_her2
AP2A_AP2A_HUMAN.H11MO.0.A	chr17:4997321-4997336	98JKPD8_lumA
AP2A_AP2A_HUMAN.H11MO.0.A	chr9:42568708-42568723	98JKPD8_lumA
AP2A_AP2A_HUMAN.H11MO.0.A	chr9:136944454-136944469	98JKPD8_lumA
AP2A_AP2A_HUMAN.H11MO.0.A	chr3:194091282-194091297	S6R691V_her2
AP2A_AP2A_HUMAN.H11MO.0.A	chr9:136555691-136555706	ANAB5F7_basal
AP2A_AP2A_HUMAN.H11MO.0.A	chr11:130897294-130897309	2GAMBDQ_norm
AP2A_AP2A_HUMAN.H11MO.0.A	chr5:132266460-132266475	98JKPD8_lumA
AP2A_AP2A_HUMAN.H11MO.0.A	chr17:64334217-64334232	ANAB5F7_basal
AP2A_AP2A_HUMAN.H11MO.0.A	chr7:32490314-32490329	ANAB5F7_basal
AP2A_AP2A_HUMAN.H11MO.0.A	chr10:3122699-3122714	ANAB5F7_basal
AP2A_AP2A_HUMAN.H11MO.0.A	chr17:76567187-76567202	S6R691V_her2
AP2A_AP2A_HUMAN.H11MO.0.A	chr15:74789395-74789410	S6R691V_her2
AP2A_AP2A_HUMAN.H11MO.0.A	chr6:3741070-3741085	2GAMBDQ_norm
AP2A_AP2A_HUMAN.H11MO.0.A	chr10:116263069-116263084	2GAMBDQ_norm
AP2A_AP2A_HUMAN.H11MO.0.A	chr8:22756287-22756302	98JKPD8_lumA
