motif_id	region_id	sample_id
SPIB_MA0081.2	chr14:49620637-49620653	98JKPD8_lumA
SPIB_MA0081.2	chr3:42490437-42490453	98JKPD8_lumA
SPIB_MA0081.2	chr11:118241706-118241722	98JKPD8_lumA
SPIB_MA0081.2	chr1:25239706-25239722	98JKPD8_lumA
SPIB_MA0081.2	chr1:23442861-23442877	ANAB5F7_basal
SPIB_MA0081.2	chr9:109120067-109120083	ANAB5F7_basal
SPIB_MA0081.2	chr8:70217447-70217463	ANAB5F7_basal
SPIB_MA0081.2	chr6:152301738-152301754	98JKPD8_lumA
SPIB_MA0081.2	chr6:32666374-32666390	ANAB5F7_basal
SPIB_MA0081.2	chr17:11279810-11279826	98JKPD8_lumA
SPIB_MA0081.2	chr17:81082644-81082660	98JKPD8_lumA
SPIB_MA0081.2	chr19:10653513-10653529	ANAB5F7_basal
SPIB_MA0081.2	chr12:55926725-55926741	ANAB5F7_basal
SPIB_MA0081.2	chr17:80025428-80025444	98JKPD8_lumA
SPIB_MA0081.2	chr10:110804059-110804075	98JKPD8_lumA
SPIB_MA0081.2	chr8:100458273-100458289	S6R691V_her2
SPIB_MA0081.2	chr11:115699811-115699827	2GAMBDQ_norm
SPIB_MA0081.2	chr1:169528812-169528828	98JKPD8_lumA
SPIB_MA0081.2	chr4:5012636-5012652	2GAMBDQ_norm
SPIB_MA0081.2	chr14:23630153-23630169	98JKPD8_lumA
SPIB_MA0081.2	chr6:38722087-38722103	S6R691V_her2
SPIB_MA0081.2	chr7:149939521-149939537	2GAMBDQ_norm
SPIB_MA0081.2	chr11:77332361-77332377	98JKPD8_lumA
SPIB_MA0081.2	chr2:44270688-44270704	ANAB5F7_basal
SPIB_MA0081.2	chr11:12248337-12248353	98JKPD8_lumA
SPIB_MA0081.2	chr3:74119457-74119473	98JKPD8_lumA
SPIB_MA0081.2	chr1:223504399-223504415	98JKPD8_lumA
SPIB_MA0081.2	chr19:58097840-58097856	PU24GB8_lumB
SPIB_MA0081.2	chr6:151960443-151960459	98JKPD8_lumA
SPIB_MA0081.2	chr6:148566502-148566518	ANAB5F7_basal
SPIB_MA0081.2	chr7:116355394-116355410	2GAMBDQ_norm
