motif_id	region_id	sample_id
MZF1_MZF1_HUMAN.H11MO.0.B	chr7:73827942-73827955	S6R691V_her2
MZF1_MZF1_HUMAN.H11MO.0.B	chr3:195271305-195271318	ANAB5F7_basal
MZF1_MZF1_HUMAN.H11MO.0.B	chr17:7558141-7558154	98JKPD8_lumA
MZF1_MZF1_HUMAN.H11MO.0.B	chr16:1794583-1794596	98JKPD8_lumA
MZF1_MZF1_HUMAN.H11MO.0.B	chr8:16115469-16115482	2GAMBDQ_norm
MZF1_MZF1_HUMAN.H11MO.0.B	chr9:109120068-109120081	ANAB5F7_basal
MZF1_MZF1_HUMAN.H11MO.0.B	chr18:79751003-79751016	PU24GB8_lumB
MZF1_MZF1_HUMAN.H11MO.0.B	chr12:19129729-19129742	98JKPD8_lumA
MZF1_MZF1_HUMAN.H11MO.0.B	chr1:1163434-1163447	98JKPD8_lumA
MZF1_MZF1_HUMAN.H11MO.0.B	chr19:10653520-10653533	ANAB5F7_basal
MZF1_MZF1_HUMAN.H11MO.0.B	chr14:104715506-104715519	S6R691V_her2
MZF1_MZF1_HUMAN.H11MO.0.B	chr21:43603352-43603365	ANAB5F7_basal
MZF1_MZF1_HUMAN.H11MO.0.B	chr1:23791338-23791351	98JKPD8_lumA
MZF1_MZF1_HUMAN.H11MO.0.B	chr10:110804061-110804074	98JKPD8_lumA
MZF1_MZF1_HUMAN.H11MO.0.B	chr4:3041902-3041915	98JKPD8_lumA
MZF1_MZF1_HUMAN.H11MO.0.B	chr16:88529832-88529845	98JKPD8_lumA
MZF1_MZF1_HUMAN.H11MO.0.B	chr6:158081547-158081560	98JKPD8_lumA
