motif_id	region_id	sample_id
TFAP4_TFAP4_HUMAN.H11MO.0.A	chr7:155166869-155166879	S6R691V_her2
TFAP4_TFAP4_HUMAN.H11MO.0.A	chr15:99057792-99057802	ANAB5F7_basal
TFAP4_TFAP4_HUMAN.H11MO.0.A	chr5:178078012-178078022	98JKPD8_lumA
TFAP4_TFAP4_HUMAN.H11MO.0.A	chr5:159519486-159519496	ANAB5F7_basal
TFAP4_TFAP4_HUMAN.H11MO.0.A	chr11:7598022-7598032	98JKPD8_lumA
TFAP4_TFAP4_HUMAN.H11MO.0.A	chr3:111967884-111967894	ANAB5F7_basal
TFAP4_TFAP4_HUMAN.H11MO.0.A	chr1:46021602-46021612	98JKPD8_lumA
TFAP4_TFAP4_HUMAN.H11MO.0.A	chr17:386647-386657	98JKPD8_lumA
TFAP4_TFAP4_HUMAN.H11MO.0.A	chr1:172450467-172450477	ANAB5F7_basal
TFAP4_TFAP4_HUMAN.H11MO.0.A	chr1:27115868-27115878	98JKPD8_lumA
TFAP4_TFAP4_HUMAN.H11MO.0.A	chr18:3817112-3817122	98JKPD8_lumA
TFAP4_TFAP4_HUMAN.H11MO.0.A	chr1:227402144-227402154	ANAB5F7_basal
