motif_id	region_id	sample_id
ELK4_MA0076.2	chr11:3477215-3477226	98JKPD8_lumA
ELK4_MA0076.2	chr8:143355115-143355126	ANAB5F7_basal
ELK4_MA0076.2	chr10:110434026-110434037	S6R691V_her2
ELK4_MA0076.2	chr5:112921542-112921553	98JKPD8_lumA
ELK4_MA0076.2	chr6:2841896-2841907	PU24GB8_lumB
ELK4_MA0076.2	chr19:55675108-55675119	98JKPD8_lumA
ELK4_MA0076.2	chr19:18571684-18571695	ANAB5F7_basal
ELK4_MA0076.2	chr7:768002-768013	98JKPD8_lumA
ELK4_MA0076.2	chr8:70217449-70217460	ANAB5F7_basal
ELK4_MA0076.2	chr8:118620947-118620958	98JKPD8_lumA
ELK4_MA0076.2	chr19:15779805-15779816	ANAB5F7_basal
ELK4_MA0076.2	chr1:10794512-10794523	98JKPD8_lumA
ELK4_MA0076.2	chr4:1246661-1246672	S6R691V_her2
