motif_id	region_id	sample_id
ZEB1_ZEB1_HUMAN.H11MO.0.A	chr13:44108525-44108535	98JKPD8_lumA
ZEB1_ZEB1_HUMAN.H11MO.0.A	chr14:100156819-100156829	98JKPD8_lumA
ZEB1_ZEB1_HUMAN.H11MO.0.A	chr16:56344695-56344705	98JKPD8_lumA
ZEB1_ZEB1_HUMAN.H11MO.0.A	chr13:112931580-112931590	98JKPD8_lumA
ZEB1_ZEB1_HUMAN.H11MO.0.A	chr8:37460621-37460631	98JKPD8_lumA
ZEB1_ZEB1_HUMAN.H11MO.0.A	chr20:44009024-44009034	98JKPD8_lumA
ZEB1_ZEB1_HUMAN.H11MO.0.A	chr16:50100094-50100104	S6R691V_her2
ZEB1_ZEB1_HUMAN.H11MO.0.A	chr6:139486207-139486217	S6R691V_her2
ZEB1_ZEB1_HUMAN.H11MO.0.A	chr1:38959815-38959825	ANAB5F7_basal
ZEB1_ZEB1_HUMAN.H11MO.0.A	chr1:33877144-33877154	ANAB5F7_basal
ZEB1_ZEB1_HUMAN.H11MO.0.A	chr15:100464506-100464516	PU24GB8_lumB
ZEB1_ZEB1_HUMAN.H11MO.0.A	chr5:34523286-34523296	ANAB5F7_basal
ZEB1_ZEB1_HUMAN.H11MO.0.A	chr11:12239890-12239900	98JKPD8_lumA
ZEB1_ZEB1_HUMAN.H11MO.0.A	chr12:54607416-54607426	S6R691V_her2
ZEB1_ZEB1_HUMAN.H11MO.0.A	chr20:43189640-43189650	98JKPD8_lumA
ZEB1_ZEB1_HUMAN.H11MO.0.A	chr14:55547166-55547176	S6R691V_her2
ZEB1_ZEB1_HUMAN.H11MO.0.A	chr13:28035700-28035710	98JKPD8_lumA
