motif_id	region_id	sample_id
STAT3_M08015_2.00	chr14:94997404-94997424	ANAB5F7_basal
STAT3_M08015_2.00	chr11:3477211-3477231	98JKPD8_lumA
STAT3_M08015_2.00	chr5:154405323-154405343	98JKPD8_lumA
STAT3_M08015_2.00	chr5:177930433-177930453	S6R691V_her2
STAT3_M08015_2.00	chr1:182382487-182382507	98JKPD8_lumA
STAT3_M08015_2.00	chr7:131061922-131061942	98JKPD8_lumA
STAT3_M08015_2.00	chr1:93566521-93566541	ANAB5F7_basal
STAT3_M08015_2.00	chr12:52901762-52901782	S6R691V_her2
STAT3_M08015_2.00	chr18:76376954-76376974	98JKPD8_lumA
STAT3_M08015_2.00	chr10:43255083-43255103	ANAB5F7_basal
STAT3_M08015_2.00	chr1:146039548-146039568	ANAB5F7_basal
STAT3_M08015_2.00	chr16:9008518-9008538	98JKPD8_lumA
STAT3_M08015_2.00	chr4:102574361-102574381	98JKPD8_lumA
STAT3_M08015_2.00	chr9:136838733-136838753	S6R691V_her2
STAT3_M08015_2.00	chr17:49881025-49881045	S6R691V_her2
