motif_id	region_id	sample_id
NR2C1_NR2C1_HUMAN.H11MO.0.C	chr16:5097855-5097868	ANAB5F7_basal
NR2C1_NR2C1_HUMAN.H11MO.0.C	chr17:369767-369780	98JKPD8_lumA
NR2C1_NR2C1_HUMAN.H11MO.0.C	chr1:204149223-204149236	S6R691V_her2
NR2C1_NR2C1_HUMAN.H11MO.0.C	chr9:135275809-135275822	ANAB5F7_basal
NR2C1_NR2C1_HUMAN.H11MO.0.C	chr11:67670405-67670418	S6R691V_her2
NR2C1_NR2C1_HUMAN.H11MO.0.C	chr1:203169835-203169848	2GAMBDQ_norm
NR2C1_NR2C1_HUMAN.H11MO.0.C	chr9:136555200-136555213	ANAB5F7_basal
NR2C1_NR2C1_HUMAN.H11MO.0.C	chr9:89757206-89757219	98JKPD8_lumA
NR2C1_NR2C1_HUMAN.H11MO.0.C	chr13:30466284-30466297	ANAB5F7_basal
NR2C1_NR2C1_HUMAN.H11MO.0.C	chr13:110338838-110338851	ANAB5F7_basal
NR2C1_NR2C1_HUMAN.H11MO.0.C	chr6:29762861-29762874	ANAB5F7_basal
NR2C1_NR2C1_HUMAN.H11MO.0.C	chr12:124904725-124904738	98JKPD8_lumA
NR2C1_NR2C1_HUMAN.H11MO.0.C	chr11:86999867-86999880	98JKPD8_lumA
NR2C1_NR2C1_HUMAN.H11MO.0.C	chr19:55076030-55076043	98JKPD8_lumA
NR2C1_NR2C1_HUMAN.H11MO.0.C	chr1:229172243-229172256	98JKPD8_lumA
NR2C1_NR2C1_HUMAN.H11MO.0.C	chr13:18874915-18874928	2GAMBDQ_norm
NR2C1_NR2C1_HUMAN.H11MO.0.C	chr5:10018168-10018181	PU24GB8_lumB
NR2C1_NR2C1_HUMAN.H11MO.0.C	chr11:11416745-11416758	ANAB5F7_basal
