motif_id	region_id	sample_id
IKZF1_IKZF1_HUMAN.H11MO.0.C	chr6:31272228-31272236	ANAB5F7_basal
IKZF1_IKZF1_HUMAN.H11MO.0.C	chr20:45783924-45783932	ANAB5F7_basal
IKZF1_IKZF1_HUMAN.H11MO.0.C	chr3:127304367-127304375	S6R691V_her2
IKZF1_IKZF1_HUMAN.H11MO.0.C	chr2:234502422-234502430	ANAB5F7_basal
IKZF1_IKZF1_HUMAN.H11MO.0.C	chr6:42118274-42118282	98JKPD8_lumA
IKZF1_IKZF1_HUMAN.H11MO.0.C	chr3:195876778-195876786	ANAB5F7_basal
IKZF1_IKZF1_HUMAN.H11MO.0.C	chr13:32009603-32009611	98JKPD8_lumA
IKZF1_IKZF1_HUMAN.H11MO.0.C	chr22:49966813-49966821	98JKPD8_lumA
IKZF1_IKZF1_HUMAN.H11MO.0.C	chr2:126971773-126971781	98JKPD8_lumA
IKZF1_IKZF1_HUMAN.H11MO.0.C	chr4:76641382-76641390	98JKPD8_lumA
IKZF1_IKZF1_HUMAN.H11MO.0.C	chr17:34133474-34133482	ANAB5F7_basal
IKZF1_IKZF1_HUMAN.H11MO.0.C	chr7:151126415-151126423	S6R691V_her2
IKZF1_IKZF1_HUMAN.H11MO.0.C	chr7:97975321-97975329	ANAB5F7_basal
IKZF1_IKZF1_HUMAN.H11MO.0.C	chr8:140064561-140064569	ANAB5F7_basal
