motif_id	region_id	sample_id
HEN1_HEN1_HUMAN.H11MO.0.C	chr11:13277675-13277695	98JKPD8_lumA
HEN1_HEN1_HUMAN.H11MO.0.C	chr11:3477199-3477219	98JKPD8_lumA
HEN1_HEN1_HUMAN.H11MO.0.C	chr1:26432094-26432114	ANAB5F7_basal
HEN1_HEN1_HUMAN.H11MO.0.C	chr15:99733400-99733420	ANAB5F7_basal
HEN1_HEN1_HUMAN.H11MO.0.C	chr2:20446854-20446874	98JKPD8_lumA
HEN1_HEN1_HUMAN.H11MO.0.C	chr3:11600777-11600797	ANAB5F7_basal
HEN1_HEN1_HUMAN.H11MO.0.C	chr12:108562622-108562642	98JKPD8_lumA
HEN1_HEN1_HUMAN.H11MO.0.C	chr9:136950036-136950056	S6R691V_her2
HEN1_HEN1_HUMAN.H11MO.0.C	chr12:121812576-121812596	98JKPD8_lumA
HEN1_HEN1_HUMAN.H11MO.0.C	chr15:42575174-42575194	ANAB5F7_basal
HEN1_HEN1_HUMAN.H11MO.0.C	chr7:47951928-47951948	98JKPD8_lumA
HEN1_HEN1_HUMAN.H11MO.0.C	chr7:768371-768391	98JKPD8_lumA
HEN1_HEN1_HUMAN.H11MO.0.C	chr17:47100401-47100421	ANAB5F7_basal
HEN1_HEN1_HUMAN.H11MO.0.C	chr12:106987114-106987134	ANAB5F7_basal
HEN1_HEN1_HUMAN.H11MO.0.C	chr2:169479495-169479515	98JKPD8_lumA
HEN1_HEN1_HUMAN.H11MO.0.C	chr6:73263213-73263233	ANAB5F7_basal
HEN1_HEN1_HUMAN.H11MO.0.C	chr4:39527353-39527373	98JKPD8_lumA
HEN1_HEN1_HUMAN.H11MO.0.C	chr9:32136909-32136929	S6R691V_her2
HEN1_HEN1_HUMAN.H11MO.0.C	chr15:99057788-99057808	ANAB5F7_basal
HEN1_HEN1_HUMAN.H11MO.0.C	chr8:133357048-133357068	ANAB5F7_basal
HEN1_HEN1_HUMAN.H11MO.0.C	chr1:221743455-221743475	ANAB5F7_basal
HEN1_HEN1_HUMAN.H11MO.0.C	chr12:6868156-6868176	ANAB5F7_basal
HEN1_HEN1_HUMAN.H11MO.0.C	chr10:93702461-93702481	98JKPD8_lumA
HEN1_HEN1_HUMAN.H11MO.0.C	chr4:186144761-186144781	ANAB5F7_basal
HEN1_HEN1_HUMAN.H11MO.0.C	chr10:123559511-123559531	ANAB5F7_basal
HEN1_HEN1_HUMAN.H11MO.0.C	chr2:173449359-173449379	ANAB5F7_basal
HEN1_HEN1_HUMAN.H11MO.0.C	chr12:132430598-132430618	ANAB5F7_basal
HEN1_HEN1_HUMAN.H11MO.0.C	chr18:48997097-48997117	98JKPD8_lumA
HEN1_HEN1_HUMAN.H11MO.0.C	chr19:15038404-15038424	ANAB5F7_basal
HEN1_HEN1_HUMAN.H11MO.0.C	chr19:29694787-29694807	ANAB5F7_basal
HEN1_HEN1_HUMAN.H11MO.0.C	chr7:32490322-32490342	ANAB5F7_basal
HEN1_HEN1_HUMAN.H11MO.0.C	chr14:93939520-93939540	ANAB5F7_basal
HEN1_HEN1_HUMAN.H11MO.0.C	chr6:153003008-153003028	ANAB5F7_basal
HEN1_HEN1_HUMAN.H11MO.0.C	chr9:129497313-129497333	98JKPD8_lumA
HEN1_HEN1_HUMAN.H11MO.0.C	chr17:27811315-27811335	ANAB5F7_basal
HEN1_HEN1_HUMAN.H11MO.0.C	chr1:172450470-172450490	ANAB5F7_basal
HEN1_HEN1_HUMAN.H11MO.0.C	chr21:29018979-29018999	ANAB5F7_basal
HEN1_HEN1_HUMAN.H11MO.0.C	chr4:120067302-120067322	ANAB5F7_basal
