motif_id	region_id	sample_id
TYY1_TYY1_HUMAN.H11MO.0.A	chr11:20415675-20415687	98JKPD8_lumA
TYY1_TYY1_HUMAN.H11MO.0.A	chr2:30756041-30756053	S6R691V_her2
TYY1_TYY1_HUMAN.H11MO.0.A	chr2:76314758-76314770	2GAMBDQ_norm
TYY1_TYY1_HUMAN.H11MO.0.A	chr9:22052725-22052737	ANAB5F7_basal
TYY1_TYY1_HUMAN.H11MO.0.A	chr16:90093140-90093152	ANAB5F7_basal
TYY1_TYY1_HUMAN.H11MO.0.A	chr22:29306662-29306674	PU24GB8_lumB
TYY1_TYY1_HUMAN.H11MO.0.A	chr14:90443772-90443784	S6R691V_her2
TYY1_TYY1_HUMAN.H11MO.0.A	chr8:135335804-135335816	98JKPD8_lumA
TYY1_TYY1_HUMAN.H11MO.0.A	chr10:9045217-9045229	98JKPD8_lumA
TYY1_TYY1_HUMAN.H11MO.0.A	chr9:132406800-132406812	98JKPD8_lumA
TYY1_TYY1_HUMAN.H11MO.0.A	chr6:33428530-33428542	98JKPD8_lumA
TYY1_TYY1_HUMAN.H11MO.0.A	chr8:135456556-135456568	ANAB5F7_basal
TYY1_TYY1_HUMAN.H11MO.0.A	chr5:16871113-16871125	ANAB5F7_basal
TYY1_TYY1_HUMAN.H11MO.0.A	chr11:35394796-35394808	S6R691V_her2
