motif_id	region_id	sample_id
PBX3_M07971_2.00	chr21:39312462-39312477	PU24GB8_lumB
PBX3_M07971_2.00	chr2:216012219-216012234	98JKPD8_lumA
PBX3_M07971_2.00	chr4:44678333-44678348	98JKPD8_lumA
PBX3_M07971_2.00	chr6:32666702-32666717	98JKPD8_lumA
PBX3_M07971_2.00	chr6:31815970-31815985	ANAB5F7_basal
PBX3_M07971_2.00	chr4:159010661-159010676	ANAB5F7_basal
PBX3_M07971_2.00	chr7:8437144-8437159	98JKPD8_lumA
PBX3_M07971_2.00	chr1:246805401-246805416	2GAMBDQ_norm
PBX3_M07971_2.00	chr8:100125864-100125879	PU24GB8_lumB
PBX3_M07971_2.00	chr1:117059705-117059720	ANAB5F7_basal
PBX3_M07971_2.00	chr1:180544178-180544193	98JKPD8_lumA
PBX3_M07971_2.00	chr1:7549440-7549455	98JKPD8_lumA
PBX3_M07971_2.00	chr20:695245-695260	ANAB5F7_basal
PBX3_M07971_2.00	chr14:90697822-90697837	98JKPD8_lumA
PBX3_M07971_2.00	chr6:7107459-7107474	98JKPD8_lumA
