motif_id	region_id	sample_id
MTF1_MTF1_HUMAN.H11MO.0.C	chr22:50276294-50276311	98JKPD8_lumA
MTF1_MTF1_HUMAN.H11MO.0.C	chr16:15154835-15154852	98JKPD8_lumA
MTF1_MTF1_HUMAN.H11MO.0.C	chr20:62143358-62143375	98JKPD8_lumA
MTF1_MTF1_HUMAN.H11MO.0.C	chr22:26483851-26483868	98JKPD8_lumA
MTF1_MTF1_HUMAN.H11MO.0.C	chr1:7266171-7266188	2GAMBDQ_norm
MTF1_MTF1_HUMAN.H11MO.0.C	chr6:89297810-89297827	ANAB5F7_basal
MTF1_MTF1_HUMAN.H11MO.0.C	chr7:155166861-155166878	S6R691V_her2
MTF1_MTF1_HUMAN.H11MO.0.C	chr7:63068405-63068422	S6R691V_her2
MTF1_MTF1_HUMAN.H11MO.0.C	chr6:161434431-161434448	ANAB5F7_basal
MTF1_MTF1_HUMAN.H11MO.0.C	chr17:1474579-1474596	98JKPD8_lumA
MTF1_MTF1_HUMAN.H11MO.0.C	chr1:1360502-1360519	98JKPD8_lumA
MTF1_MTF1_HUMAN.H11MO.0.C	chr16:81165910-81165927	98JKPD8_lumA
